MSA Code,MSA Title,State FIPS Code,State Name,2000 PUMA Code,MSA 2010 Population,2000 PUMA Est. 2010 Population*,Intersection Est. 2010 Population*,Percent MSA Population,Percent PUMA Population
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3411,"9,461,105","173,435","173,435",1.83,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3412,"9,461,105","109,799","109,799",1.16,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3413,"9,461,105","169,326","169,326",1.79,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3414,"9,461,105","167,649","167,649",1.77,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3501,"9,461,105","167,874","167,874",1.77,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3502,"9,461,105","158,484","158,484",1.68,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3503,"9,461,105","143,302","143,302",1.51,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3504,"9,461,105","141,297","141,297",1.49,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3505,"9,461,105","128,457","128,457",1.36,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3506,"9,461,105","156,288","156,288",1.65,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3507,"9,461,105","98,514","98,514",1.04,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3508,"9,461,105","130,803","130,803",1.38,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3509,"9,461,105","219,299","219,299",2.32,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3510,"9,461,105","186,038","186,038",1.97,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3511,"9,461,105","115,057","115,057",1.22,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3512,"9,461,105","164,118","164,118",1.73,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3513,"9,461,105","204,638","204,638",2.16,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3514,"9,461,105","104,200","104,200",1.1,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3515,"9,461,105","149,565","149,565",1.58,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3516,"9,461,105","141,395","141,395",1.49,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3517,"9,461,105","102,738","102,738",1.09,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3518,"9,461,105","88,066","88,066",0.93,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3519,"9,461,105","95,503","95,503",1.01,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,100,"9,461,105","80,294","80,294",0.85,100
