79908017797790010007500198153             9999999999999966300      392      181Census Tract 9663 (part)                                                                                                                                                   
79908017797790010007500198153             9999999999999966400     1158      501Census Tract 9664 (part)                                                                                                                                                   
79608017797790010008700198159                                    28159    11490Morgan County                                                                                                                                                              
79808017797790010008700198159             0742002583213             24        6Blue Sky CDP                                                                                                                                                               
79908017797790010008700198159             0742002583213000100       24        6Census Tract 1 (part)                                                                                                                                                      
79808017797790010008700198159             0955502409926           5463     2295Brush city                                                                                                                                                                 
79908017797790010008700198159             0955502409926000700     5463     2295Census Tract 7 (part)                                                                                                                                                      
79808017797790010008700198159             2781002410529          11315     4279Fort Morgan city                                                                                                                                                           
79908017797790010008700198159             2781002410529000100        0        0Census Tract 1 (part)                                                                                                                                                      
79908017797790010008700198159             2781002410529000300        0        0Census Tract 3 (part)                                                                                                                                                      
79908017797790010008700198159             2781002410529000400     4296     1836Census Tract 4 (part)                                                                                                                                                      
79908017797790010008700198159             2781002410529000500     2411      913Census Tract 5 (part)                                                                                                                                                      
79908017797790010008700198159             2781002410529000600     4608     1530Census Tract 6 (part)                                                                                                                                                      
79808017797790010008700198159             3661002412751            264      124Hillrose town                                                                                                                                                              
79908017797790010008700198159             3661002412751000800      264      124Census Tract 8 (part)                                                                                                                                                      
79808017797790010008700198159             3916002583251            154      259Jackson Lake CDP                                                                                                                                                           
79908017797790010008700198159             3916002583251000100      154      259Census Tract 1 (part)                                                                                                                                                      
79808017797790010008700198159             4569502412910            873      343Log Lane Village town                                                                                                                                                      
79908017797790010008700198159             4569502412910000300      873      343Census Tract 3 (part)                                                                                                                                                      
79808017797790010008700198159             5197502583268            266      113Morgan Heights CDP                                                                                                                                                         
79908017797790010008700198159             5197502583268000100      266      113Census Tract 1 (part)                                                                                                                                                      
79808017797790010008700198159             5592502583274             90       39Orchard CDP                                                                                                                                                                
79908017797790010008700198159             5592502583274000100       90       39Census Tract 1 (part)                                                                                                                                                      
79808017797790010008700198159             6699502583289             56       21Saddle Ridge CDP                                                                                                                                                           
79908017797790010008700198159             6699502583289000100       56       21Census Tract 1 (part)                                                                                                                                                      
79808017797790010008700198159             7179002583298            132       66Snyder CDP                                                                                                                                                                 
79908017797790010008700198159             7179002583298000100      132       66Census Tract 1 (part)                                                                                                                                                      
79808017797790010008700198159             7834502583307             59       19Trail Side CDP                                                                                                                                                             
79908017797790010008700198159             7834502583307000600       59       19Census Tract 6 (part)                                                                                                                                                      
79808017797790010008700198159             8317502583315            139       66Weldona CDP                                                                                                                                                                
79908017797790010008700198159             8317502583315000100      139       66Census Tract 1 (part)                                                                                                                                                      
79808017797790010008700198159             8477002413486            893      343Wiggins town                                                                                                                                                               
79908017797790010008700198159             8477002413486000200      893      343Census Tract 2 (part)                                                                                                                                                      
79808017797790010008700198159             9999999999999           8431     3517Remainder of Morgan County                                                                                                                                                 
79908017797790010008700198159             9999999999999000100     1739      706Census Tract 1 (part)                                                                                                                                                      
79908017797790010008700198159             9999999999999000200     1702      717Census Tract 2 (part)                                                                                                                                                      
79908017797790010008700198159             9999999999999000300      824      385Census Tract 3 (part)                                                                                                                                                      
79908017797790010008700198159             9999999999999000400      124       48Census Tract 4 (part)                                                                                                                                                      
79908017797790010008700198159             9999999999999000500       14        6Census Tract 5 (part)                                                                                                                                                      
79908017797790010008700198159             9999999999999000600     1967      754Census Tract 6 (part)                                                                                                                                                      
79908017797790010008700198159             9999999999999000700      516      225Census Tract 7 (part)                                                                                                                                                      
79908017797790010008700198159             9999999999999000800     1545      676Census Tract 8 (part)                                                                                                                                                      
79608017797790010009500198163                                     4442     2087Phillips County                                                                                                                                                            
79808017797790010009500198163             0191502583209             58       25Amherst CDP                                                                                                                                                                
79908017797790010009500198163             0191502583209967600       58       25Census Tract 9676 (part)                                                                                                                                                   
79808017797790010009500198163             3496002412738            946      498Haxtun town                                                                                                                                                                
79908017797790010009500198163             3496002412738967700      946      498Census Tract 9677 (part)                                                                                                                                                   
79808017797790010009500198163             3727002410781           2313     1031Holyoke city                                                                                                                                                               
79908017797790010009500198163             3727002410781967600     2313     1031Census Tract 9676 (part)                                                                                                                                                   
79808017797790010009500198163             5724502413107             34       23Paoli town                                                                                                                                                                 
79908017797790010009500198163             5724502413107967700       34       23Census Tract 9677 (part)                                                                                                                                                   
79808017797790010009500198163             9999999999999           1091      510Remainder of Phillips County                                                                                                                                               
79908017797790010009500198163             9999999999999967600      640      296Census Tract 9676 (part)                                                                                                                                                   
79908017797790010009500198163             9999999999999967700      451      214Census Tract 9677 (part)                                                                                                                                                   
79608017797790010011500198173                                     2379     1415Sedgwick County                                                                                                                                                            
79808017797790010011500198173             3996502412812           1225      730Julesburg town                                                                                                                                                             
79908017797790010011500198173             3996502412812968300     1225      730Census Tract 9683 (part)                                                                                                                                                   
79808017797790010011500198173             5647502413096            318      176Ovid town                                                                                                                                                                  
79908017797790010011500198173             5647502413096968300      318      176Census Tract 9683 (part)                                                                                                                                                   
79808017797790010011500198173             6893002413269            146      110Sedgwick town                                                                                                                                                              
79908017797790010011500198173             6893002413269968300      146      110Census Tract 9683 (part)                                                                                                                                                   
79808017797790010011500198173             9999999999999            690      399Remainder of Sedgwick County                                                                                                                                               
79908017797790010011500198173             9999999999999968300      690      399Census Tract 9683 (part)                                                                                                                                                   
79608017797790010012100198176                                     4814     2434Washington County                                                                                                                                                          
79808017797790010012100198176             0092502412340           1702      842Akron town                                                                                                                                                                 
79908017797790010012100198176             0092502412340924200     1702      842Census Tract 9242 (part)                                                                                                                                                   
79808017797790010012100198176             5636502413094            475      248Otis town                                                                                                                                                                  
79908017797790010012100198176             5636502413094924100      475      248Census Tract 9241 (part)                                                                                                                                                   
79808017797790010012100198176             9999999999999           2637     1344Remainder of Washington County                                                                                                                                             
79908017797790010012100198176             9999999999999924100     1674      884Census Tract 9241 (part)                                                                                                                                                   
79908017797790010012100198176             9999999999999924200      963      460Census Tract 9242 (part)                                                                                                                                                   
79608017797790010012300198177                                     4843     2190Weld County (part)                                                                                                                                                         
79808017797790010012300198177             3331002412712            137       90Grover town                                                                                                                                                                
79908017797790010012300198177             3331002412712002501      137       90Census Tract 25.01 (part)                                                                                                                                                  
79808017797790010012300198177             5504502413059            416      197Nunn town                                                                                                                                                                  
79908017797790010012300198177             5504502413059002501      416      197Census Tract 25.01 (part)                                                                                                                                                  
79808017797790010012300198177             6304502412533             96       55Raymer (New Raymer) town                                                                                                                                                   
79908017797790010012300198177             6304502412533002501       96       55Census Tract 25.01 (part)                                                                                                                                                  
79808017797790010012300198177             9999999999999           4194     1848Remainder of Weld County (part)                                                                                                                                            
