79840011028570010004101101808             2641502408215            732      615Flint Creek CDP                                                                                                                                                            
79940011028570010004101101808             2641502408215376100      187       85Census Tract 3761 (part)                                                                                                                                                   
79940011028570010004101101808             2641502408215976200      545      530Census Tract 9762 (part)                                                                                                                                                   
79840011028570010004101101808             3160002410667           6623     3665Grove city                                                                                                                                                                 
79940011028570010004101101808             3160002410667375601      371      213Census Tract 3756.01 (part)                                                                                                                                                
79940011028570010004101101808             3160002410667375602        0        0Census Tract 3756.02 (part)                                                                                                                                                
79940011028570010004101101808             3160002410667375700     6252     3452Census Tract 3757 (part)                                                                                                                                                   
79840011028570010004101101808             3694502584382             48       22Indianola CDP                                                                                                                                                              
79940011028570010004101101808             3694502584382376000       48       22Census Tract 3760 (part)                                                                                                                                                   
79840011028570010004101101808             3765002410135           2448     1083Jay city                                                                                                                                                                   
79940011028570010004101101808             3765002410135376000     2448     1083Census Tract 3760 (part)                                                                                                                                                   
79840011028570010004101101808             3860002412816            802      299Kansas town                                                                                                                                                                
79940011028570010004101101808             3860002412816376100      802      299Census Tract 3761 (part)                                                                                                                                                   
79940011028570010004101101808             3860002412816976200        0        0Census Tract 9762 (part)                                                                                                                                                   
79840011028570010004101101808             3945002584383            617      206Kenwood CDP (part)                                                                                                                                                         
79940011028570010004101101808             3945002584383376100      617      206Census Tract 3761 (part)                                                                                                                                                   
79840011028570010004101101808             3955002412829             20       10Ketchum town (part)                                                                                                                                                        
79940011028570010004101101808             3955002412829375801       20       10Census Tract 3758.01 (part)                                                                                                                                                
79840011028570010004101101808             4190002408592            237       99Leach CDP                                                                                                                                                                  
79940011028570010004101101808             4190002408592376100      237       99Census Tract 3761 (part)                                                                                                                                                   
79840011028570010004101101808             5127502408917            405      177New Eucha CDP                                                                                                                                                              
79940011028570010004101101808             5127502408917375900      202       88Census Tract 3759 (part)                                                                                                                                                   
79940011028570010004101101808             5127502408917376000      203       89Census Tract 3760 (part)                                                                                                                                                   
79840011028570010004101101808             5355002413069            288      105Oaks town (part)                                                                                                                                                           
79940011028570010004101101808             5355002413069376100      288      105Census Tract 3761 (part)                                                                                                                                                   
79840011028570010004101101808             5527502408984             52       20Old Eucha CDP                                                                                                                                                              
79940011028570010004101101808             5527502408984376100       52       20Census Tract 3761 (part)                                                                                                                                                   
79840011028570010004101101808             6371502409198             61       21Rocky Ford CDP                                                                                                                                                             
79940011028570010004101101808             6371502409198376100       61       21Census Tract 3761 (part)                                                                                                                                                   
79840011028570010004101101808             7196502410042            177       55Sycamore CDP                                                                                                                                                               
79940011028570010004101101808             7196502410042376000      177       55Census Tract 3760 (part)                                                                                                                                                   
79840011028570010004101101808             7207502410049             13        5Tagg Flats CDP                                                                                                                                                             
79940011028570010004101101808             7207502410049376100       13        5Census Tract 3761 (part)                                                                                                                                                   
79840011028570010004101101808             7560002409375            198       74Twin Oaks CDP                                                                                                                                                              
79940011028570010004101101808             7560002409375376100      198       74Census Tract 3761 (part)                                                                                                                                                   
79840011028570010004101101808             8035002413468            846      360West Siloam Springs town                                                                                                                                                   
79940011028570010004101101808             8035002413468976200      846      360Census Tract 9762 (part)                                                                                                                                                   
79840011028570010004101101808             8091202584397             80       38White Water CDP                                                                                                                                                            
79940011028570010004101101808             8091202584397375601       80       38Census Tract 3756.01 (part)                                                                                                                                                
79840011028570010004101101808             8305002409644            122       91Zena CDP                                                                                                                                                                   
79940011028570010004101101808             8305002409644375900      122       91Census Tract 3759 (part)                                                                                                                                                   
79840011028570010004101101808             9999999999999          22208    13496Remainder of Delaware County                                                                                                                                               
79940011028570010004101101808             9999999999999375601     2677     1498Census Tract 3756.01 (part)                                                                                                                                                
79940011028570010004101101808             9999999999999375602     2943     1967Census Tract 3756.02 (part)                                                                                                                                                
79940011028570010004101101808             9999999999999375700     1405      663Census Tract 3757 (part)                                                                                                                                                   
79940011028570010004101101808             9999999999999375801     1472     1259Census Tract 3758.01 (part)                                                                                                                                                
79940011028570010004101101808             9999999999999375802     1755     1908Census Tract 3758.02 (part)                                                                                                                                                
79940011028570010004101101808             9999999999999375900     3470     2653Census Tract 3759 (part)                                                                                                                                                   
79940011028570010004101101808             9999999999999376000     2585     1072Census Tract 3760 (part)                                                                                                                                                   
79940011028570010004101101808             9999999999999376100     2374      999Census Tract 3761 (part)                                                                                                                                                   
79940011028570010004101101808             9999999999999976200     3527     1477Census Tract 9762 (part)                                                                                                                                                   
79640011028570010009701101833                                    41259    19239Mayes County                                                                                                                                                               
79840011028570010009701101833             0025002412333            790      315Adair town                                                                                                                                                                 
79940011028570010009701101833             0025002412333040800      790      315Census Tract 408 (part)                                                                                                                                                    
79840011028570010009701101833             0407502407794            176       75Ballou CDP                                                                                                                                                                 
79940011028570010009701101833             0407502407794040501      176       75Census Tract 405.01 (part)                                                                                                                                                 
79840011028570010009701101833             1293002407998            312      121Cedar Crest CDP                                                                                                                                                            
79940011028570010009701101833             1293002407998040501      312      121Census Tract 405.01 (part)                                                                                                                                                 
79840011028570010009701101833             1430002413200           2097      920Chouteau town                                                                                                                                                              
79940011028570010009701101833             1430002413200040400     2097      920Census Tract 404 (part)                                                                                                                                                    
79840011028570010009701101833             2090002412434            311      259Disney town                                                                                                                                                                
79940011028570010009701101833             2090002412434040700      311      259Census Tract 407 (part)                                                                                                                                                    
79840011028570010009701101833             3090002412702             74       66Grand Lake Towne town                                                                                                                                                      
79940011028570010009701101833             3090002412702040700       74       66Census Tract 407 (part)                                                                                                                                                    
79840011028570010009701101833             3602002412767              4        1Hoot Owl town                                                                                                                                                              
79940011028570010009701101833             3602002412767040600        4        1Census Tract 406 (part)                                                                                                                                                    
79840011028570010009701101833             3727502408432             92       48Iron Post CDP                                                                                                                                                              
79940011028570010009701101833             3727502408432040501       92       48Census Tract 405.01 (part)                                                                                                                                                 
79840011028570010009701101833             3945002584383            607      232Kenwood CDP (part)                                                                                                                                                         
79940011028570010009701101833             3945002584383040502        4        1Census Tract 405.02 (part)                                                                                                                                                 
79940011028570010009701101833             3945002584383040600      603      231Census Tract 406 (part)                                                                                                                                                    
79840011028570010009701101833             3955002412829             23       55Ketchum town (part)                                                                                                                                                        
79940011028570010009701101833             3955002412829040700       23       55Census Tract 407 (part)                                                                                                                                                    
79840011028570010009701101833             4150002412876            819      481Langley town (part)                                                                                                                                                        
79940011028570010009701101833             4150002412876040700      819      481Census Tract 407 (part)                                                                                                                                                    
79840011028570010009701101833             4350002412908           1423      615Locust Grove town                                                                                                                                                          
79940011028570010009701101833             4350002412908040501        0        0Census Tract 405.01 (part)                                                                                                                                                 
79940011028570010009701101833             4350002412908040502     1423      615Census Tract 405.02 (part)                                                                                                                                                 
79840011028570010009701101833             4720002408193             91       43Mazie CDP                                                                                                                                                                  
79940011028570010009701101833             4720002408193040400       91       43Census Tract 404 (part)                                                                                                                                                    
79840011028570010009701101833             4995002408891            219      114Murphy CDP                                                                                                                                                                 
79940011028570010009701101833             4995002408891040501      219      114Census Tract 405.01 (part)                                                                                                                                                 
