79802017855330020012201419972             1642002418842           1364      894Cohoe CDP                                                                                                                                                                  
79902017855330020012201419972             1642002418842000700     1364      894Census Tract 7 (part)                                                                                                                                                      
79802017855330020012201419972             1719002418845            289      395Cooper Landing CDP                                                                                                                                                         
79902017855330020012201419972             1719002418845000300      289      395Census Tract 3 (part)                                                                                                                                                      
79802017855330020012201419972             1796002418549             74       38Crown Point CDP                                                                                                                                                            
79902017855330020012201419972             1796002418549000300       74       38Census Tract 3 (part)                                                                                                                                                      
79802017855330020012201419972             1892502418553           1156      647Diamond Ridge CDP                                                                                                                                                          
79902017855330020012201419972             1892502418553000900     1156      647Census Tract 9 (part)                                                                                                                                                      
79802017855330020012201419972             2691002418589            685      274Fox River CDP                                                                                                                                                              
79902017855330020012201419972             2691002418589001100      685      274Census Tract 11 (part)                                                                                                                                                     
79802017855330020012201419972             2709002418590           1932     1094Fritz Creek CDP                                                                                                                                                            
79902017855330020012201419972             2709002418590001100     1932     1094Census Tract 11 (part)                                                                                                                                                     
79802017855330020012201419972             2714502418591            877     1062Funny River CDP                                                                                                                                                            
79902017855330020012201419972             2714502418591000400      877     1062Census Tract 4 (part)                                                                                                                                                      
79802017855330020012201419972             3127002418607             76      161Halibut Cove CDP                                                                                                                                                           
79902017855330020012201419972             3127002418607001200       76      161Census Tract 12 (part)                                                                                                                                                     
79802017855330020012201419972             3171002418610            593      555Happy Valley CDP                                                                                                                                                           
79902017855330020012201419972             3171002418610000800      593      555Census Tract 8 (part)                                                                                                                                                      
79802017855330020012201419972             3314002419395           5003     2692Homer city                                                                                                                                                                 
79902017855330020012201419972             3314002419395000900      976      472Census Tract 9 (part)                                                                                                                                                      
79902017855330020012201419972             3314002419395001000     4027     2220Census Tract 10 (part)                                                                                                                                                     
79802017855330020012201419972             3358002418620            192      197Hope CDP                                                                                                                                                                   
79902017855330020012201419972             3358002418620000300      192      197Census Tract 3 (part)                                                                                                                                                      
79802017855330020012201419972             3655002419402            472      304Kachemak city                                                                                                                                                              
79902017855330020012201419972             3655002419402001100      472      304Census Tract 11 (part)                                                                                                                                                     
79802017855330020012201419972             3725002418637           7850     3531Kalifornsky CDP                                                                                                                                                            
79902017855330020012201419972             3725002418637000700     7850     3531Census Tract 7 (part)                                                                                                                                                      
79802017855330020012201419972             3809002418646            549      271Kasilof CDP                                                                                                                                                                
79902017855330020012201419972             3809002418646000700      549      271Census Tract 7 (part)                                                                                                                                                      
79802017855330020012201419972             3842002419407           7100     3166Kenai city                                                                                                                                                                 
79902017855330020012201419972             3842002419407000600     7100     3166Census Tract 6 (part)                                                                                                                                                      
79802017855330020012201419972             4529502418689             80       71Lowell Point CDP                                                                                                                                                           
79902017855330020012201419972             4529502418689001300       80       71Census Tract 13 (part)                                                                                                                                                     
79802017855330020012201419972             5019002418717            219      137Moose Pass CDP                                                                                                                                                             
79902017855330020012201419972             5019002418717000300      219      137Census Tract 3 (part)                                                                                                                                                      
79802017855330020012201419972             5221002418726            254       73Nanwalek CDP                                                                                                                                                               
79902017855330020012201419972             5221002418726001200      254       73Census Tract 12 (part)                                                                                                                                                     
79802017855330020012201419972             5405002418742           4493     1998Nikiski CDP                                                                                                                                                                
79902017855330020012201419972             5405002418742000200     4493     1998Census Tract 2 (part)                                                                                                                                                      
79802017855330020012201419972             5408502418743            318      150Nikolaevsk CDP                                                                                                                                                             
79902017855330020012201419972             5408502418743000800      318      150Census Tract 8 (part)                                                                                                                                                      
79802017855330020012201419972             5448002418748            883      967Ninilchik CDP                                                                                                                                                              
79902017855330020012201419972             5448002418748000800      883      967Census Tract 8 (part)                                                                                                                                                      
79802017855330020012201419972             6182502582716              3      214Point Possession CDP                                                                                                                                                       
79902017855330020012201419972             6182502582716000200        3      214Census Tract 2 (part)                                                                                                                                                      
79802017855330020012201419972             6328002419185            177      108Port Graham CDP                                                                                                                                                            
