79805000680850010000700069896             5712502403445           2066     1003Prairie Creek CDP                                                                                                                                                          
79905000680850010000700069896             5712502403445020203      868      428Census Tract 202.03 (part)                                                                                                                                                 
79905000680850010000700069896             5712502403445021407     1198      575Census Tract 214.07 (part)                                                                                                                                                 
79805000680850010000700069896             6041002404644          55964    22022Rogers city                                                                                                                                                                
79905000680850010000700069896             6041002404644020102      540      215Census Tract 201.02 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644020201     3673     1626Census Tract 202.01 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644020203     1802      756Census Tract 202.03 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644020205     4447     1435Census Tract 202.05 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644020206     5867     1850Census Tract 202.06 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644020301     3834     1658Census Tract 203.01                                                                                                                                                        
79905000680850010000700069896             6041002404644020302     3777     1559Census Tract 203.02                                                                                                                                                        
79905000680850010000700069896             6041002404644020304      824      341Census Tract 203.04 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644020305     4003     1490Census Tract 203.05 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644020401     6415     2632Census Tract 204.01 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644020402     4378     1729Census Tract 204.02                                                                                                                                                        
79905000680850010000700069896             6041002404644020404     4180     1563Census Tract 204.04                                                                                                                                                        
79905000680850010000700069896             6041002404644020405     3149     1327Census Tract 204.05                                                                                                                                                        
79905000680850010000700069896             6041002404644020504        0        0Census Tract 205.04 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644020603     1586      932Census Tract 206.03 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644021305       12        5Census Tract 213.05 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644021306     3162     1394Census Tract 213.06 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644021308     2923      995Census Tract 213.08 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644021310      784      312Census Tract 213.10 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644021311      596      198Census Tract 213.11 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644021404        7        3Census Tract 214.04 (part)                                                                                                                                                 
79905000680850010000700069896             6041002404644021407        5        2Census Tract 214.07 (part)                                                                                                                                                 
79805000680850010000700069896             6437002405464          15039     5707Siloam Springs city                                                                                                                                                        
79905000680850010000700069896             6437002405464021002       12        4Census Tract 210.02 (part)                                                                                                                                                 
79905000680850010000700069896             6437002405464021101     4304     1662Census Tract 211.01 (part)                                                                                                                                                 
79905000680850010000700069896             6437002405464021102     2628     1006Census Tract 211.02 (part)                                                                                                                                                 
79905000680850010000700069896             6437002405464021201     4054     1250Census Tract 212.01 (part)                                                                                                                                                 
79905000680850010000700069896             6437002405464021202     3042     1319Census Tract 212.02 (part)                                                                                                                                                 
79905000680850010000700069896             6437002405464021301      999      466Census Tract 213.01 (part)                                                                                                                                                 
79805000680850010000700069896             6608002405509           6054     2079Springdale city (part)                                                                                                                                                     
79905000680850010000700069896             6608002405509021310     3161     1025Census Tract 213.10 (part)                                                                                                                                                 
79905000680850010000700069896             6608002405509021311      987      387Census Tract 213.11 (part)                                                                                                                                                 
79905000680850010000700069896             6608002405509021406      869      296Census Tract 214.06 (part)                                                                                                                                                 
79905000680850010000700069896             6608002405509021408     1037      371Census Tract 214.08 (part)                                                                                                                                                 
79805000680850010000700069896             6620002407390             87       43Springtown town                                                                                                                                                            
79905000680850010000700069896             6620002407390021301       87       43Census Tract 213.01 (part)                                                                                                                                                 
79805000680850010000700069896             6776002405541            511      274Sulphur Springs city                                                                                                                                                       
79905000680850010000700069896             6776002405541020902       52       42Census Tract 209.02 (part)                                                                                                                                                 
79905000680850010000700069896             6776002405541021001      459      232Census Tract 210.01 (part)                                                                                                                                                 
79805000680850010000700069896             9999999999999          41203    18099Remainder of Benton County                                                                                                                                                 
79905000680850010000700069896             9999999999999020101     2299      912Census Tract 201.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020102     2187      829Census Tract 201.02 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020201      274      107Census Tract 202.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020203      271      114Census Tract 202.03 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020205     1182      480Census Tract 202.05 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020206      202       75Census Tract 202.06 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020304        6        3Census Tract 203.04 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020501      139       60Census Tract 205.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020603      119       43Census Tract 206.03 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020604       15        4Census Tract 206.04 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020605        7        3Census Tract 206.05 (part)                                                                                                                                                 
