795110170238200105                                              139192    82268District of Columbia (Central) PUMA                                                                                                                                        
79611017023820010500101702382                                   139192    82268District of Columbia (part)                                                                                                                                                
79811017023820010500101702382             5000002390665         139192    82268Washington city (part)                                                                                                                                                     
79911017023820010500101702382             5000002390665003301     3198     1578Census Tract 33.01                                                                                                                                                         
79911017023820010500101702382             5000002390665003302     2134      982Census Tract 33.02                                                                                                                                                         
79911017023820010500101702382             5000002390665003400     4347     1347Census Tract 34                                                                                                                                                            
79911017023820010500101702382             5000002390665003500     3740     1189Census Tract 35                                                                                                                                                            
79911017023820010500101702382             5000002390665003600     4208     2308Census Tract 36                                                                                                                                                            
79911017023820010500101702382             5000002390665003700     5763     2570Census Tract 37                                                                                                                                                            
79911017023820010500101702382             5000002390665003800     4614     2861Census Tract 38                                                                                                                                                            
79911017023820010500101702382             5000002390665003900     4474     2996Census Tract 39                                                                                                                                                            
79911017023820010500101702382             5000002390665004001     3745     2489Census Tract 40.01                                                                                                                                                         
79911017023820010500101702382             5000002390665004002     2797     1916Census Tract 40.02                                                                                                                                                         
79911017023820010500101702382             5000002390665004201     3342     2259Census Tract 42.01                                                                                                                                                         
79911017023820010500101702382             5000002390665004202     2771     1915Census Tract 42.02                                                                                                                                                         
79911017023820010500101702382             5000002390665004300     3255     2084Census Tract 43                                                                                                                                                            
79911017023820010500101702382             5000002390665004400     4572     2651Census Tract 44                                                                                                                                                            
79911017023820010500101702382             5000002390665004600     3028     1465Census Tract 46                                                                                                                                                            
79911017023820010500101702382             5000002390665004701     3986     2138Census Tract 47.01                                                                                                                                                         
79911017023820010500101702382             5000002390665004702     1802      988Census Tract 47.02                                                                                                                                                         
79911017023820010500101702382             5000002390665004801     2143     1208Census Tract 48.01                                                                                                                                                         
79911017023820010500101702382             5000002390665004802     2922     1561Census Tract 48.02                                                                                                                                                         
79911017023820010500101702382             5000002390665004901     2087     1094Census Tract 49.01                                                                                                                                                         
79911017023820010500101702382             5000002390665004902     2690     1530Census Tract 49.02                                                                                                                                                         
79911017023820010500101702382             5000002390665005001     1955     1003Census Tract 50.01                                                                                                                                                         
79911017023820010500101702382             5000002390665005002     6021     3853Census Tract 50.02                                                                                                                                                         
79911017023820010500101702382             5000002390665005201     6077     4548Census Tract 52.01                                                                                                                                                         
79911017023820010500101702382             5000002390665005301     5051     3890Census Tract 53.01                                                                                                                                                         
79911017023820010500101702382             5000002390665005500     6671     4983Census Tract 55                                                                                                                                                            
79911017023820010500101702382             5000002390665005600     6756     4059Census Tract 56                                                                                                                                                            
79911017023820010500101702382             5000002390665005800     2830     2306Census Tract 58                                                                                                                                                            
79911017023820010500101702382             5000002390665005900     2998     1868Census Tract 59                                                                                                                                                            
79911017023820010500101702382             5000002390665006202       33        8Census Tract 62.02                                                                                                                                                         
79911017023820010500101702382             5000002390665006400     2139     1055Census Tract 64                                                                                                                                                            
79911017023820010500101702382             5000002390665007200     2794     2370Census Tract 72                                                                                                                                                            
79911017023820010500101702382             5000002390665010100     2621     2067Census Tract 101                                                                                                                                                           
79911017023820010500101702382             5000002390665010200     2324     1654Census Tract 102                                                                                                                                                           
79911017023820010500101702382             5000002390665010500     3410     2347Census Tract 105                                                                                                                                                           
79911017023820010500101702382             5000002390665010600     3933     1927Census Tract 106                                                                                                                                                           
79911017023820010500101702382             5000002390665010700     1838     1413Census Tract 107                                                                                                                                                           
79911017023820010500101702382             5000002390665010800     6408     1115Census Tract 108.00                                                                                                                                                        
79911017023820010500101702382             5000002390665011000     3715     2673Census Tract 110                                                                                                                                                           
