79847013258730020001701639729             9999999999999          14746     6826Remainder of Carroll County                                                                                                                                                
79947013258730020001701639729             9999999999999962000     2251     1066Census Tract 9620 (part)                                                                                                                                                   
79947013258730020001701639729             9999999999999962100     2838     1284Census Tract 9621 (part)                                                                                                                                                   
79947013258730020001701639729             9999999999999962201     1368      597Census Tract 9622.01 (part)                                                                                                                                                
79947013258730020001701639729             9999999999999962202     1231      552Census Tract 9622.02 (part)                                                                                                                                                
79947013258730020001701639729             9999999999999962300     2523     1202Census Tract 9623 (part)                                                                                                                                                   
79947013258730020001701639729             9999999999999962400     2599     1213Census Tract 9624                                                                                                                                                          
79947013258730020001701639729             9999999999999962500     1936      912Census Tract 9625 (part)                                                                                                                                                   
79947013258730020001701639729             9999999999999980100        0        0Census Tract 9801                                                                                                                                                          
79647013258730020007901639755                                    32330    17054Henry County                                                                                                                                                               
79847013258730020007901639755             1734002406316             88       40Cottage Grove town                                                                                                                                                         
79947013258730020007901639755             1734002406316969200       88       40Census Tract 9692 (part)                                                                                                                                                   
79847013258730020007901639755             3340002405819            464      206Henry town                                                                                                                                                                 
79947013258730020007901639755             3340002405819969800      464      206Census Tract 9698 (part)                                                                                                                                                   
79847013258730020007901639755             4494002405052             83       40McKenzie city (part)                                                                                                                                                       
79947013258730020007901639755             4494002405052969800       83       40Census Tract 9698 (part)                                                                                                                                                   
79847013258730020007901639755             5672002404474          10156     5058Paris city                                                                                                                                                                 
79947013258730020007901639755             5672002404474969300     2779     1301Census Tract 9693 (part)                                                                                                                                                   
79947013258730020007901639755             5672002404474969400     2094     1105Census Tract 9694 (part)                                                                                                                                                   
79947013258730020007901639755             5672002404474969500     4882     2450Census Tract 9695 (part)                                                                                                                                                   
79947013258730020007901639755             5672002404474969600      401      202Census Tract 9696 (part)                                                                                                                                                   
79847013258730020007901639755             6116002404580            671      299Puryear city                                                                                                                                                               
79947013258730020007901639755             6116002404580969100      671      299Census Tract 9691 (part)                                                                                                                                                   
