79935008975350010004500936844             9999999999999942900     3993     1733Census Tract 9429 (part)                                                                                                                                                   
79935008975350010004500936844             9999999999999943000     1707      577Census Tract 9430 (part)                                                                                                                                                   
79935008975350010004500936844             9999999999999943100     1463      706Census Tract 9431 (part)                                                                                                                                                   
79935008975350010004500936844             9999999999999943201     3420     1337Census Tract 9432.01 (part)                                                                                                                                                
795350089753500200                                              100941    38930San Juan County (Northeast)--Farmington, Bloomfield & Aztec Cities PUMA                                                                                                    
79635008975350020004500936844                                   100941    38930San Juan County (part)                                                                                                                                                     
79835008975350020004500936844             0578002409767           6763     2892Aztec city                                                                                                                                                                 
79935008975350020004500936844             0578002409767000609      995      483Census Tract 6.09 (part)                                                                                                                                                   
79935008975350020004500936844             0578002409767000610     3727     1614Census Tract 6.10 (part)                                                                                                                                                   
79935008975350020004500936844             0578002409767000611        0        0Census Tract 6.11 (part)                                                                                                                                                   
79935008975350020004500936844             0578002409767000612     2040      794Census Tract 6.12 (part)                                                                                                                                                   
79935008975350020004500936844             0578002409767000613        1        1Census Tract 6.13 (part)                                                                                                                                                   
