79906017797780010300101675839             5300002411292404102     2283     1706Census Tract 4041.02                                                                                                                                                       
79906017797780010300101675839             5300002411292404200     3483     1420Census Tract 4042                                                                                                                                                          
79906017797780010300101675839             5300002411292404300     3218     1395Census Tract 4043                                                                                                                                                          
79906017797780010300101675839             5300002411292404400     5314     2391Census Tract 4044                                                                                                                                                          
79906017797780010300101675839             5300002411292404501     1677      710Census Tract 4045.01                                                                                                                                                       
79906017797780010300101675839             5300002411292404502     5784     2548Census Tract 4045.02                                                                                                                                                       
79906017797780010300101675839             5300002411292404600     4353     1867Census Tract 4046                                                                                                                                                          
79906017797780010300101675839             5300002411292404700     1954      825Census Tract 4047                                                                                                                                                          
79906017797780010300101675839             5300002411292404800     2684     1288Census Tract 4048                                                                                                                                                          
79906017797780010300101675839             5300002411292404900     4129     2056Census Tract 4049                                                                                                                                                          
79906017797780010300101675839             5300002411292405000     3136     1606Census Tract 4050                                                                                                                                                          
79906017797780010300101675839             5300002411292405100     4197     1627Census Tract 4051                                                                                                                                                          
79906017797780010300101675839             5300002411292406700     5048     2335Census Tract 4067                                                                                                                                                          
79906017797780010300101675839             5300002411292406800     3428     1451Census Tract 4068                                                                                                                                                          
79906017797780010300101675839             5300002411292406900     3719     1561Census Tract 4069                                                                                                                                                          
79906017797780010300101675839             5300002411292407800     2425      783Census Tract 4078                                                                                                                                                          
79906017797780010300101675839             5300002411292407900     2706     1198Census Tract 4079                                                                                                                                                          
79906017797780010300101675839             5300002411292408000     2671     1058Census Tract 4080                                                                                                                                                          
79906017797780010300101675839             5300002411292408100     5991     2714Census Tract 4081                                                                                                                                                          
79906017797780010300101675839             5300002411292408200     4054     1819Census Tract 4082                                                                                                                                                          
79906017797780010300101675839             5300002411292408300     4167     1826Census Tract 4083                                                                                                                                                          
79906017797780010300101675839             5300002411292409800     2887     1289Census Tract 4098                                                                                                                                                          
79906017797780010300101675839             5300002411292409900     3308     1415Census Tract 4099                                                                                                                                                          
79906017797780010300101675839             5300002411292410000     2805     1179Census Tract 4100 (part)                                                                                                                                                   
79806017797780010300101675839             5693802411418          10667     3924Piedmont city                                                                                                                                                              
79906017797780010300101675839             5693802411418426100     5922     2189Census Tract 4261                                                                                                                                                          
79906017797780010300101675839             5693802411418426200     4745     1735Census Tract 4262                                                                                                                                                          
79806017797780010300101675839             9999999999999              0        0Remainder of Alameda County (part)                                                                                                                                         
79906017797780010300101675839             9999999999999410000        0        0Census Tract 4100 (part)                                                                                                                                                   
795060177977800104                                              124608    42670Alameda County (North Central)--Oakland City (South Central) PUMA                                                                                                          
79606017797780010400101675839                                   124608    42670Alameda County (part)                                                                                                                                                      
79806017797780010400101675839             5300002411292         124599    42667Oakland city (part)                                                                                                                                                        
79906017797780010400101675839             5300002411292406500     5930     2015Census Tract 4065                                                                                                                                                          
79906017797780010400101675839             5300002411292406601     4596     1805Census Tract 4066.01                                                                                                                                                       
79906017797780010400101675839             5300002411292406602     2493      964Census Tract 4066.02                                                                                                                                                       
79906017797780010400101675839             5300002411292407000     5885     2233Census Tract 4070                                                                                                                                                          
79906017797780010400101675839             5300002411292407101     3414     1096Census Tract 4071.01                                                                                                                                                       
79906017797780010400101675839             5300002411292407102     4351     1375Census Tract 4071.02                                                                                                                                                       
79906017797780010400101675839             5300002411292407200     6746     2008Census Tract 4072                                                                                                                                                          
79906017797780010400101675839             5300002411292407300     2598      811Census Tract 4073                                                                                                                                                          
79906017797780010400101675839             5300002411292407400     3954     1186Census Tract 4074                                                                                                                                                          
79906017797780010400101675839             5300002411292407500     3931     1386Census Tract 4075                                                                                                                                                          
79906017797780010400101675839             5300002411292407600     6027     2251Census Tract 4076                                                                                                                                                          
