79921017797860010014500516925             9999999999999031100     1344      600Census Tract 311 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999031200     4816     2040Census Tract 312 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999031301       24        7Census Tract 313.01 (part)                                                                                                                                                 
79921017797860010014500516925             9999999999999031302     1924      747Census Tract 313.02 (part)                                                                                                                                                 
79921017797860010014500516925             9999999999999031400     4350     2091Census Tract 314 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999031500     6328     2802Census Tract 315 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999031600     2892     1217Census Tract 316                                                                                                                                                           
79621017797860010015700516922                                    31448    15748Marshall County                                                                                                                                                            
79821017797860010015700516922             0582402403856           4349     2032Benton city                                                                                                                                                                
79921017797860010015700516922             0582402403856950300        0        0Census Tract 9503 (part)                                                                                                                                                   
79921017797860010015700516922             0582402403856950400     4293     2009Census Tract 9504 (part)                                                                                                                                                   
79921017797860010015700516922             0582402403856950500       56       23Census Tract 9505 (part)                                                                                                                                                   
79821017797860010015700516922             1201602403972           2566     1154Calvert City city                                                                                                                                                          
79921017797860010015700516922             1201602403972950100     2558     1152Census Tract 9501 (part)                                                                                                                                                   
79921017797860010015700516922             1201602403972950300        8        2Census Tract 9503 (part)                                                                                                                                                   
79821017797860010015700516922             3088002629621            458      263Gilbertsville CDP                                                                                                                                                          
79921017797860010015700516922             3088002629621950100      458      263Census Tract 9501 (part)                                                                                                                                                   
79821017797860010015700516922             3453402403798            615      285Hardin city                                                                                                                                                                
79921017797860010015700516922             3453402403798950500      615      285Census Tract 9505 (part)                                                                                                                                                   
79821017797860010015700516922             9999999999999          23460    12014Remainder of Marshall County                                                                                                                                               
79921017797860010015700516922             9999999999999950100     2326     1067Census Tract 9501 (part)                                                                                                                                                   
79921017797860010015700516922             9999999999999950200     4746     2043Census Tract 9502                                                                                                                                                          
79921017797860010015700516922             9999999999999950300     4153     2144Census Tract 9503 (part)                                                                                                                                                   
79921017797860010015700516922             9999999999999950400     1084      452Census Tract 9504 (part)                                                                                                                                                   
79921017797860010015700516922             9999999999999950500     4843     2120Census Tract 9505 (part)                                                                                                                                                   
79921017797860010015700516922             9999999999999950600     6308     4188Census Tract 9506                                                                                                                                                          
795210177978600200                                              110237    50564Pennyrile Area Development District (North) PUMA                                                                                                                           
79621017797860020003300516863                                    12984     6292Caldwell County                                                                                                                                                            
79821017797860020003300516863             2022402404193              0        0Dawson Springs city (part)                                                                                                                                                 
79921017797860020003300516863             2022402404193920300        0        0Census Tract 9203 (part)                                                                                                                                                   
79821017797860020003300516863             2908002403662            401      198Fredonia city                                                                                                                                                              
79921017797860020003300516863             2908002403662920100      401      198Census Tract 9201 (part)                                                                                                                                                   
79821017797860020003300516863             6313802404574           6329     3124Princeton city                                                                                                                                                             
79921017797860020003300516863             6313802404574920200     3361     1701Census Tract 9202 (part)                                                                                                                                                   
79921017797860020003300516863             6313802404574920300     2968     1423Census Tract 9203 (part)                                                                                                                                                   
79821017797860020003300516863             9999999999999           6254     2970Remainder of Caldwell County                                                                                                                                               
