79841011551070020002301135851             1095002413162            703      355Canyon City town                                                                                                                                                           
79941011551070020002301135851             1095002413162960200      703      355Census Tract 9602 (part)                                                                                                                                                   
79841011551070020002301135851             1830002412411            149       93Dayville town                                                                                                                                                              
79941011551070020002301135851             1830002412411960200      149       93Census Tract 9602 (part)                                                                                                                                                   
79841011551070020002301135851             3050002410642             38       88Granite city                                                                                                                                                               
79941011551070020002301135851             3050002410642960100       38       88Census Tract 9601 (part)                                                                                                                                                   
79841011551070020002301135851             3105002410658              0        0Greenhorn city (part)                                                                                                                                                      
79941011551070020002301135851             3105002410658960100        0        0Census Tract 9601 (part)                                                                                                                                                   
79841011551070020002301135851             3755002410144           1744      895John Day city                                                                                                                                                              
79941011551070020002301135851             3755002410144960200     1744      895Census Tract 9602 (part)                                                                                                                                                   
79841011551070020002301135851             4355002410868            197      112Long Creek city                                                                                                                                                            
79941011551070020002301135851             4355002410868960100      197      112Census Tract 9601 (part)                                                                                                                                                   
79841011551070020002301135851             4975002411152            128       82Monument city                                                                                                                                                              
79941011551070020002301135851             4975002411152960100      128       82Census Tract 9601 (part)                                                                                                                                                   
79841011551070020002301135851             5025002411182            527      281Mount Vernon city                                                                                                                                                          
79941011551070020002301135851             5025002411182960200      527      281Census Tract 9602 (part)                                                                                                                                                   
79841011551070020002301135851             5965002411484            909      476Prairie City city                                                                                                                                                          
79941011551070020002301135851             5965002411484960100      909      476Census Tract 9601 (part)                                                                                                                                                   
79841011551070020002301135851             6620002411867            199      128Seneca city                                                                                                                                                                
79941011551070020002301135851             6620002411867960200      199      128Census Tract 9602 (part)                                                                                                                                                   
79841011551070020002301135851             9999999999999           2851     1834Remainder of Grant County                                                                                                                                                  
