79945017797990010204501245489             9999999999999002604      339      134Census Tract 26.04 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999002606     5327     2074Census Tract 26.06 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999002608     5925     2135Census Tract 26.08 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999002609     6343     2676Census Tract 26.09                                                                                                                                                         
79945017797990010204501245489             9999999999999002611     4772     2003Census Tract 26.11 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999003902     3382     1391Census Tract 39.02 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999003903     4198     1784Census Tract 39.03                                                                                                                                                         
79945017797990010204501245489             9999999999999003904     2700     1063Census Tract 39.04 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999004001     3085     1294Census Tract 40.01 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999004002     3789     1842Census Tract 40.02 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999004101     1810      763Census Tract 41.01 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999004102      963      829Census Tract 41.02                                                                                                                                                         
795450177979900103                                              156630    67191Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea PUMA                                                                                     
79645017797990010304501245489                                   156630    67191Greenville County (part)                                                                                                                                                   
79845017797990010304501245489             0577002402684          14295     6093Berea CDP                                                                                                                                                                  
79945017797990010304501245489             0577002402684003701     2266      919Census Tract 37.01 (part)                                                                                                                                                  
79945017797990010304501245489             0577002402684003704     3818     1642Census Tract 37.04                                                                                                                                                         
79945017797990010304501245489             0577002402684003705     1173      568Census Tract 37.05 (part)                                                                                                                                                  
79945017797990010304501245489             0577002402684003706     3465     1320Census Tract 37.06                                                                                                                                                         
79945017797990010304501245489             0577002402684003707     3573     1644Census Tract 37.07                                                                                                                                                         
79845017797990010304501245489             1445502402778           1290      518City View CDP (part)                                                                                                                                                       
79945017797990010304501245489             1445502402778002201     1250      478Census Tract 22.01 (part)                                                                                                                                                  
79945017797990010304501245489             1445502402778002202        0        0Census Tract 22.02 (part)                                                                                                                                                  
79945017797990010304501245489             1445502402778002303       40       40Census Tract 23.03 (part)                                                                                                                                                  
79845017797990010304501245489             2131002402417           3662     1860Dunean CDP (part)                                                                                                                                                          
79945017797990010304501245489             2131002402417002107     2461     1238Census Tract 21.07 (part)                                                                                                                                                  
79945017797990010304501245489             2131002402417002108     1201      622Census Tract 21.08 (part)                                                                                                                                                  
79845017797990010304501245489             2554002402484          14140     4805Five Forks CDP                                                                                                                                                             
