79910017797810020000100217271             2120002390583041100      283        0Census Tract 411 (part)                                                                                                                                                    
79910017797810020000100217271             2120002390583041200      546      239Census Tract 412 (part)                                                                                                                                                    
79910017797810020000100217271             2120002390583041300     2060     1069Census Tract 413 (part)                                                                                                                                                    
79910017797810020000100217271             2120002390583041400     3645     1625Census Tract 414 (part)                                                                                                                                                    
79910017797810020000100217271             2120002390583041500     2184      916Census Tract 415 (part)                                                                                                                                                    
79910017797810020000100217271             2120002390583041600        0        0Census Tract 416 (part)                                                                                                                                                    
79910017797810020000100217271             2120002390583041801     2463     1091Census Tract 418.01 (part)                                                                                                                                                 
79910017797810020000100217271             2120002390583041802     2072      907Census Tract 418.02 (part)                                                                                                                                                 
79910017797810020000100217271             2120002390583043202        0        0Census Tract 432.02 (part)                                                                                                                                                 
79910017797810020000100217271             2120002390583043300     6112     1731Census Tract 433 (part)                                                                                                                                                    
79810017797810020000100217271             2138702389412           3450     1144Dover Base Housing CDP                                                                                                                                                     
79910017797810020000100217271             2138702389412041100     3450     1144Census Tract 411 (part)                                                                                                                                                    
79810017797810020000100217271             2584002390176            110       45Farmington town                                                                                                                                                            
79910017797810020000100217271             2584002390176043100      110       45Census Tract 431 (part)                                                                                                                                                    
79810017797810020000100217271             2662002390181           1298      551Felton town                                                                                                                                                                
79910017797810020000100217271             2662002390181042800     1298      551Census Tract 428 (part)                                                                                                                                                    
79810017797810020000100217271             2844002390191            774      321Frederica town                                                                                                                                                             
79910017797810020000100217271             2844002390191043202        7        3Census Tract 432.02 (part)                                                                                                                                                 
79910017797810020000100217271             2844002390191043400      767      318Census Tract 434 (part)                                                                                                                                                    
79810017797810020000100217271             3312002390598           3562     1527Harrington city                                                                                                                                                            
79910017797810020000100217271             3312002390598043000     3562     1527Census Tract 430 (part)                                                                                                                                                    
79810017797810020000100217271             3325002390235             74       34Hartly town                                                                                                                                                                
79910017797810020000100217271             3325002390235041900       74       34Census Tract 419 (part)                                                                                                                                                    
79810017797810020000100217271             3481002389924           3459     1378Highland Acres CDP                                                                                                                                                         
79910017797810020000100217271             3481002389924041600     1443      632Census Tract 416 (part)                                                                                                                                                    
79910017797810020000100217271             3481002389924041702     2016      746Census Tract 417.02 (part)                                                                                                                                                 
79810017797810020000100217271             3676002390251            374      157Houston town                                                                                                                                                               
79910017797810020000100217271             3676002390251042900      374      157Census Tract 429 (part)                                                                                                                                                    
79810017797810020000100217271             3871002389996           1890      755Kent Acres CDP                                                                                                                                                             
79910017797810020000100217271             3871002389996041200     1263      497Census Tract 412 (part)                                                                                                                                                    
79910017797810020000100217271             3871002389996041600      627      258Census Tract 416 (part)                                                                                                                                                    
79810017797810020000100217271             3910002391253            261      104Kenton town                                                                                                                                                                
79910017797810020000100217271             3910002391253040100      261      104Census Tract 401 (part)                                                                                                                                                    
79810017797810020000100217271             4170002391267            183       93Leipsic town                                                                                                                                                               
