79951017798030410104101480111             9999999999999100936     3873     1377Census Tract 1009.36                                                                                                                                                       
795510177980304102                                              111527    42986Chesterfield County (Central)--Chester & Rockwood PUMA                                                                                                                     
79651017798030410204101480111                                   111527    42986Chesterfield County (part)                                                                                                                                                 
79851017798030410204101480111             1609602389312          20987     8319Chester CDP (part)                                                                                                                                                         
79951017798030410204101480111             1609602389312100409     6369     2429Census Tract 1004.09                                                                                                                                                       
79951017798030410204101480111             1609602389312100410     2188     1135Census Tract 1004.10                                                                                                                                                       
79951017798030410204101480111             1609602389312100505     5040     2104Census Tract 1005.05                                                                                                                                                       
79951017798030410204101480111             1609602389312100506     6591     2311Census Tract 1005.06 (part)                                                                                                                                                
79951017798030410204101480111             1609602389312100823      799      340Census Tract 1008.23 (part)                                                                                                                                                
79851017798030410204101480111             2587702629708           3242     1538Enon CDP (part)                                                                                                                                                            
79951017798030410204101480111             2587702629708100510     3242     1538Census Tract 1005.10                                                                                                                                                       
79851017798030410204101480111             5056802584878           3342     1191Meadowbrook CDP (part)                                                                                                                                                     
79951017798030410204101480111             5056802584878100814     1674      588Census Tract 1008.14 (part)                                                                                                                                                
79951017798030410204101480111             5056802584878100815     1668      603Census Tract 1008.15 (part)                                                                                                                                                
79851017798030410204101480111             6847002584911           5987     2458Rockwood CDP (part)                                                                                                                                                        
79951017798030410204101480111             6847002584911100208     2584     1062Census Tract 1002.08                                                                                                                                                       
79951017798030410204101480111             6847002584911100812      168      112Census Tract 1008.12 (part)                                                                                                                                                
79951017798030410204101480111             6847002584911100910     1574      642Census Tract 1009.10 (part)                                                                                                                                                
79951017798030410204101480111             6847002584911100919     1661      642Census Tract 1009.19 (part)                                                                                                                                                
79851017798030410204101480111             9999999999999          77969    29480Remainder of Chesterfield County (part)                                                                                                                                    
79951017798030410204101480111             9999999999999100506        8        6Census Tract 1005.06 (part)                                                                                                                                                
79951017798030410204101480111             9999999999999100509     6578     2198Census Tract 1005.09                                                                                                                                                       
79951017798030410204101480111             9999999999999100812     5639     2048Census Tract 1008.12 (part)                                                                                                                                                
79951017798030410204101480111             9999999999999100814     1850      734Census Tract 1008.14 (part)                                                                                                                                                
