79954017798050020003301718426             1018002390568032101     1703      788Census Tract 321.01 (part)                                                                                                                                                 
79954017798050020003301718426             1018002390568032102     6234     2800Census Tract 321.02 (part)                                                                                                                                                 
79854017798050020003301718426             1562802390577          16578     8132Clarksburg city                                                                                                                                                            
79954017798050020003301718426             1562802390577030100     3365     1900Census Tract 301 (part)                                                                                                                                                    
79954017798050020003301718426             1562802390577030200     2389     1161Census Tract 302 (part)                                                                                                                                                    
79954017798050020003301718426             1562802390577030300     1290      593Census Tract 303 (part)                                                                                                                                                    
79954017798050020003301718426             1562802390577030400     3128     1505Census Tract 304 (part)                                                                                                                                                    
79954017798050020003301718426             1562802390577030500      523      186Census Tract 305 (part)                                                                                                                                                    
79954017798050020003301718426             1562802390577030601     1589      766Census Tract 306.01 (part)                                                                                                                                                 
79954017798050020003301718426             1562802390577030602     3589     1685Census Tract 306.02 (part)                                                                                                                                                 
79954017798050020003301718426             1562802390577030800       84       38Census Tract 308 (part)                                                                                                                                                    
79954017798050020003301718426             1562802390577031000      615      292Census Tract 310 (part)                                                                                                                                                    
79954017798050020003301718426             1562802390577031100        6        6Census Tract 311 (part)                                                                                                                                                    
79954017798050020003301718426             1562802390577032000        0        0Census Tract 320 (part)                                                                                                                                                    
79854017798050020003301718426             2131602389404           1004      448Despard CDP                                                                                                                                                                
79954017798050020003301718426             2131602389404030300     1004      448Census Tract 303 (part)                                                                                                                                                    
79854017798050020003301718426             2551602389047            961      402Enterprise CDP                                                                                                                                                             
79954017798050020003301718426             2551602389047031800      961      402Census Tract 318 (part)                                                                                                                                                    
79854017798050020003301718426             3418002586821            328      160Gypsy CDP                                                                                                                                                                  
79954017798050020003301718426             3418002586821032000      328      160Census Tract 320 (part)                                                                                                                                                    
79854017798050020003301718426             3662802586826            566      249Hepzibah CDP                                                                                                                                                               
79954017798050020003301718426             3662802586826030800      566      249Census Tract 308 (part)                                                                                                                                                    
79854017798050020003301718426             4874802391274            496      205Lost Creek town                                                                                                                                                            
79954017798050020003301718426             4874802391274031300      496      205Census Tract 313 (part)                                                                                                                                                    
79854017798050020003301718426             4925202391278            876      384Lumberport town                                                                                                                                                            
79954017798050020003301718426             4925202391278030800      876      384Census Tract 308 (part)                                                                                                                                                    
79854017798050020003301718426             5983602391337           1593      826Nutter Fort town                                                                                                                                                           
79954017798050020003301718426             5983602391337030400       18        7Census Tract 304 (part)                                                                                                                                                    
79954017798050020003301718426             5983602391337030500     1575      819Census Tract 305 (part)                                                                                                                                                    
79854017798050020003301718426             7138002390648           1586      834Salem city                                                                                                                                                                 
79954017798050020003301718426             7138002390648031600     1586      834Census Tract 316 (part)                                                                                                                                                    
79854017798050020003301718426             7363602390652           2201     1087Shinnston city                                                                                                                                                             
79954017798050020003301718426             7363602390652031900     2201     1087Census Tract 319 (part)                                                                                                                                                    
79954017798050020003301718426             7363602390652032000        0        0Census Tract 320 (part)                                                                                                                                                    
79854017798050020003301718426             7579602586884            346      152Spelter CDP                                                                                                                                                                
79954017798050020003301718426             7579602586884030800      346      152Census Tract 308 (part)                                                                                                                                                    
79854017798050020003301718426             7718802390659           1806      890Stonewood city                                                                                                                                                             
79954017798050020003301718426             7718802390659031000     1736      856Census Tract 310 (part)                                                                                                                                                    
79954017798050020003301718426             7718802390659031100       70       34Census Tract 311 (part)                                                                                                                                                    
79854017798050020003301718426             8592402391479            630      279West Milford town                                                                                                                                                          
79954017798050020003301718426             8592402391479031400      630      279Census Tract 314 (part)                                                                                                                                                    
79854017798050020003301718426             8827602586903            272      127Wolf Summit CDP                                                                                                                                                            
79954017798050020003301718426             8827602586903030700      272      127Census Tract 307 (part)                                                                                                                                                    
79854017798050020003301718426             9999999999999          30937    13235Remainder of Harrison County                                                                                                                                               
79954017798050020003301718426             9999999999999030100        0        0Census Tract 301 (part)                                                                                                                                                    
79954017798050020003301718426             9999999999999030200      390      161Census Tract 302 (part)                                                                                                                                                    
79954017798050020003301718426             9999999999999030300       94       43Census Tract 303 (part)                                                                                                                                                    
79954017798050020003301718426             9999999999999030400       23        8Census Tract 304 (part)                                                                                                                                                    
