79932017797930010203100858608             6060002410923002615     3038     1138Census Tract 26.15 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002616     4275     1559Census Tract 26.16                                                                                                                                                         
79932017797930010203100858608             6060002410923002619     4853     2051Census Tract 26.19 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923003203        0        0Census Tract 32.03 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923980100        0        0Census Tract 9801                                                                                                                                                          
79932017797930010203100858608             6060002410923980200        0        0Census Tract 9802 (part)                                                                                                                                                   
79932017797930010203100858608             6060002410923980300        0        0Census Tract 9803 (part)                                                                                                                                                   
79832017797930010203100858608             7940002583962           1415      686Verdi CDP                                                                                                                                                                  
79932017797930010203100858608             7940002583962002301        0        0Census Tract 23.01 (part)                                                                                                                                                  
79932017797930010203100858608             7940002583962002302     1415      686Census Tract 23.02 (part)                                                                                                                                                  
79832017797930010203100858608             8225002629982           3019     1311Washoe Valley CDP                                                                                                                                                          
79932017797930010203100858608             8225002629982003202     2292      992Census Tract 32.02 (part)                                                                                                                                                  
79932017797930010203100858608             8225002629982003204      727      319Census Tract 32.04 (part)                                                                                                                                                  
79832017797930010203100858608             9999999999999          31138    12845Remainder of Washoe County (part)                                                                                                                                          
79932017797930010203100858608             9999999999999001010     2472     1060Census Tract 10.10 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999001011     3550     1407Census Tract 10.11 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999001012     1157      416Census Tract 10.12 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999001013     5441     2195Census Tract 10.13 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999001014        0        0Census Tract 10.14 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999001103     1826      729Census Tract 11.03 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002103     2004      844Census Tract 21.03 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002207      116       77Census Tract 22.07 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002209       71       24Census Tract 22.09 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002210     1594      634Census Tract 22.10 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002301        0        0Census Tract 23.01 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002302       20        9Census Tract 23.02 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002412        0        0Census Tract 24.12 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002603     1422      582Census Tract 26.03 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002610        0        0Census Tract 26.10 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002612      402      192Census Tract 26.12 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002613        0        0Census Tract 26.13 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002615      404      167Census Tract 26.15 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999002619      924      377Census Tract 26.19 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999003202     3378     1494Census Tract 32.02 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999003203     4549     1819Census Tract 32.03 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999003204     1795      815Census Tract 32.04 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999003308        0        0Census Tract 33.08 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999003309        5        2Census Tract 33.09 (part)                                                                                                                                                  
79932017797930010203100858608             9999999999999980200        0        0Census Tract 9802 (part)                                                                                                                                                   
79932017797930010203100858608             9999999999999980300        8        2Census Tract 9803 (part)                                                                                                                                                   
79932017797930010203100858608             9999999999999990000        0        0Census Tract 9900 (part)                                                                                                                                                   
795320177979300103                                              136527    53750Washoe County (North)--Sparks City PUMA                                                                                                                                    
79632017797930010303100858608                                   136527    53750Washoe County (part)                                                                                                                                                       
79832017797930010303100858608             2370002583921            217      126Empire CDP                                                                                                                                                                 
79932017797930010303100858608             2370002583921003501      217      126Census Tract 35.01 (part)                                                                                                                                                  
79832017797930010303100858608             2730002583926            206      151Gerlach CDP                                                                                                                                                                
79932017797930010303100858608             2730002583926003501      206      151Census Tract 35.01 (part)                                                                                                                                                  
79832017797930010303100858608             2886002583929           1280      523Golden Valley CDP (part)                                                                                                                                                   
79932017797930010303100858608             2886002583929002618     1280      523Census Tract 26.18 (part)                                                                                                                                                  
79832017797930010303100858608             4180002408597           3984     1480Lemmon Valley CDP (part)                                                                                                                                                   
79932017797930010303100858608             4180002408597002618     3984     1480Census Tract 26.18 (part)                                                                                                                                                  
79832017797930010303100858608             5120002408930            374      142Nixon CDP                                                                                                                                                                  
79932017797930010303100858608             5120002408930940200      374      142Census Tract 9402 (part)                                                                                                                                                   
79832017797930010303100858608             6060002410923           1429      558Reno city (part)                                                                                                                                                           
79932017797930010303100858608             6060002410923001901        0        0Census Tract 19.01 (part)                                                                                                                                                  
79932017797930010303100858608             6060002410923002618      245      101Census Tract 26.18 (part)                                                                                                                                                  
79932017797930010303100858608             6060002410923002704     1173      454Census Tract 27.04 (part)                                                                                                                                                  
79932017797930010303100858608             6060002410923002705       11        3Census Tract 27.05 (part)                                                                                                                                                  
79932017797930010303100858608             6060002410923003501        0        0Census Tract 35.01 (part)                                                                                                                                                  
79832017797930010303100858608             6835002408785          15064     5619Spanish Springs CDP                                                                                                                                                        
79932017797930010303100858608             6835002408785003503     3924     1468Census Tract 35.03 (part)                                                                                                                                                  
