79916017797830010007901702379             8479002412169960400      784      535Census Tract 9604 (part)                                                                                                                                                   
79816017797830010007901702379             8524002412180            188      118Wardner city                                                                                                                                                               
79916017797830010007901702379             8524002412180960300      188      118Census Tract 9603 (part)                                                                                                                                                   
79816017797830010007901702379             9999999999999           5180     2815Remainder of Shoshone County                                                                                                                                               
79916017797830010007901702379             9999999999999960200     2560     1566Census Tract 9602 (part)                                                                                                                                                   
79916017797830010007901702379             9999999999999960300      764      357Census Tract 9603 (part)                                                                                                                                                   
79916017797830010007901702379             9999999999999960400     1856      892Census Tract 9604 (part)                                                                                                                                                   
795160177978300200                                              133649    58658Kootenai County (Northwest)--Coeur d'Alene, Post Falls & Hayden Cities PUMA                                                                                                
79616017797830020005500395661                                   133649    58658Kootenai County (part)                                                                                                                                                     
79816017797830020005500395661             0370002409748            692      305Athol city                                                                                                                                                                 
79916017797830020005500395661             0370002409748000200      692      305Census Tract 2 (part)                                                                                                                                                      
79816017797830020005500395661             1675002410187          44137    20219Coeur d'Alene city                                                                                                                                                         
79916017797830020005500395661             1675002410187000601       18        7Census Tract 6.01 (part)                                                                                                                                                   
79916017797830020005500395661             1675002410187000700    11751     4714Census Tract 7 (part)                                                                                                                                                      
79916017797830020005500395661             1675002410187000800     4055     1831Census Tract 8 (part)                                                                                                                                                      
79916017797830020005500395661             1675002410187000900     4782     2717Census Tract 9 (part)                                                                                                                                                      
79916017797830020005500395661             1675002410187001100        0        0Census Tract 11 (part)                                                                                                                                                     
79916017797830020005500395661             1675002410187001200     6203     2749Census Tract 12 (part)                                                                                                                                                     
79916017797830020005500395661             1675002410187001300     3947     1728Census Tract 13                                                                                                                                                            
79916017797830020005500395661             1675002410187001400     2796     1564Census Tract 14 (part)                                                                                                                                                     
79916017797830020005500395661             1675002410187001500     3178     1458Census Tract 15                                                                                                                                                            
79916017797830020005500395661             1675002410187001600     2572     1337Census Tract 16 (part)                                                                                                                                                     
79916017797830020005500395661             1675002410187001700     1950      960Census Tract 17 (part)                                                                                                                                                     
79916017797830020005500395661             1675002410187001800     2883     1153Census Tract 18 (part)                                                                                                                                                     
79916017797830020005500395661             1675002410187002000        2        1Census Tract 20 (part)                                                                                                                                                     
79816017797830020005500395661             2035002410289           2335      917Dalton Gardens city                                                                                                                                                        
