79956017798070010002901605079             6346502409126965100      280      128Census Tract 9651 (part)                                                                                                                                                   
79856017798070010002901605079             9999999999999          11367     5791Remainder of Park County                                                                                                                                                   
79956017798070010002901605079             9999999999999965100     4379     1839Census Tract 9651 (part)                                                                                                                                                   
79956017798070010002901605079             9999999999999965200      150       69Census Tract 9652 (part)                                                                                                                                                   
79956017798070010002901605079             9999999999999965300     6340     3661Census Tract 9653 (part)                                                                                                                                                   
79956017798070010002901605079             9999999999999965400      452      198Census Tract 9654 (part)                                                                                                                                                   
79956017798070010002901605079             9999999999999965500       46       24Census Tract 9655 (part)                                                                                                                                                   
79656017798070010003301605081                                    29116    13939Sheridan County                                                                                                                                                            
79856017798070010003301605081             0372502407770             43       31Arvada CDP                                                                                                                                                                 
79956017798070010003301605081             0372502407770000500       43       31Census Tract 5 (part)                                                                                                                                                      
79856017798070010003301605081             0677002407840            490      209Big Horn CDP                                                                                                                                                               
79956017798070010003301605081             0677002407840000500      490      209Census Tract 5 (part)                                                                                                                                                      
79856017798070010003301605081             1532502413211            142       66Clearmont town                                                                                                                                                             
79956017798070010003301605081             1532502413211000500      142       66Census Tract 5 (part)                                                                                                                                                      
79856017798070010003301605081             1938502412410            757      336Dayton town                                                                                                                                                                
79956017798070010003301605081             1938502412410000600      757      336Census Tract 6 (part)                                                                                                                                                      
79856017798070010003301605081             5998502409032            151       72Parkman CDP                                                                                                                                                                
79956017798070010003301605081             5998502409032000600      151       72Census Tract 6 (part)                                                                                                                                                      
79856017798070010003301605081             6375502412525            855      332Ranchester town                                                                                                                                                            
79956017798070010003301605081             6375502412525000600      855      332Census Tract 6 (part)                                                                                                                                                      
79856017798070010003301605081             6984502411887          17444     8253Sheridan city                                                                                                                                                              
79956017798070010003301605081             6984502411887000100     4924     2259Census Tract 1 (part)                                                                                                                                                      
79956017798070010003301605081             6984502411887000200     3106     1589Census Tract 2 (part)                                                                                                                                                      
79956017798070010003301605081             6984502411887000300     3586     1928Census Tract 3 (part)                                                                                                                                                      
79956017798070010003301605081             6984502411887000400     5136     2228Census Tract 4 (part)                                                                                                                                                      
79956017798070010003301605081             6984502411887000500       11        7Census Tract 5 (part)                                                                                                                                                      
79956017798070010003301605081             6984502411887000600      681      242Census Tract 6 (part)                                                                                                                                                      
79856017798070010003301605081             7361502410006            828      647Story CDP                                                                                                                                                                  
79956017798070010003301605081             7361502410006000500      828      647Census Tract 5 (part)                                                                                                                                                      
79856017798070010003301605081             9999999999999           8406     3993Remainder of Sheridan County                                                                                                                                               
79956017798070010003301605081             9999999999999000100      487      212Census Tract 1 (part)                                                                                                                                                      
79956017798070010003301605081             9999999999999000200      100       52Census Tract 2 (part)                                                                                                                                                      
79956017798070010003301605081             9999999999999000300        0        0Census Tract 3 (part)                                                                                                                                                      
79956017798070010003301605081             9999999999999000400      539      226Census Tract 4 (part)                                                                                                                                                      
79956017798070010003301605081             9999999999999000500     5027     2470Census Tract 5 (part)                                                                                                                                                      
79956017798070010003301605081             9999999999999000600     2253     1033Census Tract 6 (part)                                                                                                                                                      
79656017798070010003901605083                                    21294    12813Teton County                                                                                                                                                               
79856017798070010003901605083             0198502407730            394      232Alta CDP                                                                                                                                                                   
79956017798070010003901605083             0198502407730967600      394      232Census Tract 9676 (part)                                                                                                                                                   
79856017798070010003901605083             3794502408392           1176      567Hoback CDP                                                                                                                                                                 
79956017798070010003901605083             3794502408392967600     1176      567Census Tract 9676 (part)                                                                                                                                                   
79856017798070010003901605083             4012002412799           9577     4736Jackson town                                                                                                                                                               
79956017798070010003901605083             4012002412799967701     2263     1125Census Tract 9677.01 (part)                                                                                                                                                
79956017798070010003901605083             4012002412799967702     2290     1050Census Tract 9677.02 (part)                                                                                                                                                
79956017798070010003901605083             4012002412799967800     5024     2561Census Tract 9678 (part)                                                                                                                                                   
79856017798070010003901605083             4186002629273            138       93Kelly CDP                                                                                                                                                                  
79956017798070010003901605083             4186002629273967600      138       93Census Tract 9676 (part)                                                                                                                                                   
79856017798070010003901605083             5440202408865           1821     1371Moose Wilson Road CDP                                                                                                                                                      
79956017798070010003901605083             5440202408865967702     1821     1371Census Tract 9677.02 (part)                                                                                                                                                
79856017798070010003901605083             6310002409121           1075      484Rafter J Ranch CDP                                                                                                                                                         
79956017798070010003901605083             6310002409121967800     1075      484Census Tract 9678 (part)                                                                                                                                                   
79856017798070010003901605083             7194702408769           1731      803South Park CDP                                                                                                                                                             
79956017798070010003901605083             7194702408769967702        0        0Census Tract 9677.02 (part)                                                                                                                                                
79956017798070010003901605083             7194702408769967800     1731      803Census Tract 9678 (part)                                                                                                                                                   
79856017798070010003901605083             7593502410072            330      554Teton Village CDP                                                                                                                                                          
79956017798070010003901605083             7593502410072967600      330      554Census Tract 9676 (part)                                                                                                                                                   
79856017798070010003901605083             8376502409603           1482      931Wilson CDP                                                                                                                                                                 
79956017798070010003901605083             8376502409603967702     1482      931Census Tract 9677.02 (part)                                                                                                                                                
79856017798070010003901605083             9999999999999           3570     3042Remainder of Teton County                                                                                                                                                  
79956017798070010003901605083             9999999999999967600     2562     2322Census Tract 9676 (part)                                                                                                                                                   
79956017798070010003901605083             9999999999999967701        8        9Census Tract 9677.01 (part)                                                                                                                                                
79956017798070010003901605083             9999999999999967702      818      635Census Tract 9677.02 (part)                                                                                                                                                
79956017798070010003901605083             9999999999999967800      182       76Census Tract 9678 (part)                                                                                                                                                   
795560177980700200                                              101926    46446Campbell, Goshen, Platte, Johnson, Washakie, Weston, Crook & Niobrara Counties PUMA                                                                                        
79656017798070020000501605068                                    46133    18955Campbell County                                                                                                                                                            
79856017798070020000501605068             0290002407747           1658      644Antelope Valley-Crestview CDP                                                                                                                                              
79956017798070020000501605068             0290002407747000100        0        0Census Tract 1 (part)                                                                                                                                                      
79956017798070020000501605068             0290002407747000200     1658      644Census Tract 2 (part)                                                                                                                                                      
79856017798070020000501605068             3185502410589          29087    12153Gillette city                                                                                                                                                              
79956017798070020000501605068             3185502410589000100     2259     1033Census Tract 1 (part)                                                                                                                                                      
79956017798070020000501605068             3185502410589000200     2594      986Census Tract 2 (part)                                                                                                                                                      
79956017798070020000501605068             3185502410589000300     4633     1924Census Tract 3 (part)                                                                                                                                                      
79956017798070020000501605068             3185502410589000400     4394     2086Census Tract 4                                                                                                                                                             
79956017798070020000501605068             3185502410589000500     6062     2220Census Tract 5 (part)                                                                                                                                                      
79956017798070020000501605068             3185502410589000600     5279     2322Census Tract 6 (part)                                                                                                                                                      
79956017798070020000501605068             3185502410589000700     3866     1582Census Tract 7 (part)                                                                                                                                                      
79856017798070020000501605068             7135002408747           1308      447Sleepy Hollow CDP                                                                                                                                                          
79956017798070020000501605068             7135002408747000200     1308      447Census Tract 2 (part)                                                                                                                                                      
79856017798070020000501605068             8501502413513           1807      813Wright town                                                                                                                                                                
79956017798070020000501605068             8501502413513000100     1807      813Census Tract 1 (part)                                                                                                                                                      
79856017798070020000501605068             9999999999999          12273     4898Remainder of Campbell County                                                                                                                                               
79956017798070020000501605068             9999999999999000100     4858     1874Census Tract 1 (part)                                                                                                                                                      
79956017798070020000501605068             9999999999999000200      881      375Census Tract 2 (part)                                                                                                                                                      
79956017798070020000501605068             9999999999999000300      854      353Census Tract 3 (part)                                                                                                                                                      
79956017798070020000501605068             9999999999999000500      303      103Census Tract 5 (part)                                                                                                                                                      
79956017798070020000501605068             9999999999999000600      415      161Census Tract 6 (part)                                                                                                                                                      
79956017798070020000501605068             9999999999999000700     4962     2032Census Tract 7 (part)                                                                                                                                                      
79656017798070020001101605071                                     7083     3595Crook County                                                                                                                                                               
79856017798070020001101605071             0648002585079             73       39Beulah CDP                                                                                                                                                                 
79956017798070020001101605071             0648002585079950300       73       39Census Tract 9503 (part)                                                                                                                                                   
79856017798070020001101605071             3910502412780            383      207Hulett town                                                                                                                                                                
79956017798070020001101605071             3910502412780950200      383      207Census Tract 9502 (part)                                                                                                                                                   
79856017798070020001101605071             5418502413010           1009      442Moorcroft town                                                                                                                                                             
79956017798070020001101605071             5418502413010950200     1009      442Census Tract 9502 (part)                                                                                                                                                   
79856017798070020001101605071             6161002413132            490      258Pine Haven town                                                                                                                                                            
79956017798070020001101605071             6161002413132950200      490      258Census Tract 9502 (part)                                                                                                                                                   
79856017798070020001101605071             7419502413351           1182      606Sundance town                                                                                                                                                              
79956017798070020001101605071             7419502413351950300     1182      606Census Tract 9503 (part)                                                                                                                                                   
79856017798070020001101605071             9999999999999           3946     2043Remainder of Crook County                                                                                                                                                  
79956017798070020001101605071             9999999999999950200     2599     1315Census Tract 9502 (part)                                                                                                                                                   
79956017798070020001101605071             9999999999999950300     1347      728Census Tract 9503 (part)                                                                                                                                                   
79656017798070020001501605073                                    13249     5972Goshen County                                                                                                                                                              
79856017798070020001501605073             2823002412641            230      143Fort Laramie town                                                                                                                                                          
79956017798070020001501605073             2823002412641957700      230      143Census Tract 9577 (part)                                                                                                                                                   
79856017798070020001501605073             3606002408358             45       37Hawk Springs CDP                                                                                                                                                           
79956017798070020001501605073             3606002408358958000       45       37Census Tract 9580 (part)                                                                                                                                                   
79856017798070020001501605073             3925002408410             30       11Huntley CDP                                                                                                                                                                
79956017798070020001501605073             3925002408410958000       30       11Census Tract 9580 (part)                                                                                                                                                   
79856017798070020001501605073             4374502412854            448      135La Grange town                                                                                                                                                             
79956017798070020001501605073             4374502412854958000      448      135Census Tract 9580 (part)                                                                                                                                                   
79856017798070020001501605073             4679002412902            468      217Lingle town                                                                                                                                                                
79956017798070020001501605073             4679002412902957700      468      217Census Tract 9577 (part)                                                                                                                                                   
79856017798070020001501605073             7753002412088           6501     2717Torrington city                                                                                                                                                            
79956017798070020001501605073             7753002412088957800     2094      885Census Tract 9578 (part)                                                                                                                                                   
79956017798070020001501605073             7753002412088957900     4403     1829Census Tract 9579 (part)                                                                                                                                                   
79956017798070020001501605073             7753002412088958000        4        3Census Tract 9580 (part)                                                                                                                                                   
79856017798070020001501605073             8028502409510             23       14Veteran CDP                                                                                                                                                                
79956017798070020001501605073             8028502409510958000       23       14Census Tract 9580 (part)                                                                                                                                                   
79856017798070020001501605073             8666502413522            151       85Yoder town                                                                                                                                                                 
79956017798070020001501605073             8666502413522958000      151       85Census Tract 9580 (part)                                                                                                                                                   
79856017798070020001501605073             9999999999999           5353     2613Remainder of Goshen County                                                                                                                                                 
79956017798070020001501605073             9999999999999957700     1098      572Census Tract 9577 (part)                                                                                                                                                   
79956017798070020001501605073             9999999999999957800     1483      691Census Tract 9578 (part)                                                                                                                                                   
79956017798070020001501605073             9999999999999957900      458      215Census Tract 9579 (part)                                                                                                                                                   
79956017798070020001501605073             9999999999999958000     2314     1135Census Tract 9580 (part)                                                                                                                                                   
79656017798070020001901609191                                     8569     4553Johnson County                                                                                                                                                             
79856017798070020001901609191             1068502409934           4585     2300Buffalo city                                                                                                                                                               
79956017798070020001901609191             1068502409934955200     4585     2300Census Tract 9552 (part)                                                                                                                                                   
79856017798070020001901609191             4135302412818            263      134Kaycee town                                                                                                                                                                
79956017798070020001901609191             4135302412818955100      263      134Census Tract 9551 (part)                                                                                                                                                   
79856017798070020001901609191             9999999999999           3721     2119Remainder of Johnson County                                                                                                                                                
79956017798070020001901609191             9999999999999955100     2212     1435Census Tract 9551 (part)                                                                                                                                                   
79956017798070020001901609191             9999999999999955200     1509      684Census Tract 9552 (part)                                                                                                                                                   
79656017798070020002701605078                                     2484     1338Niobrara County                                                                                                                                                            
79856017798070020002701605078             4461502408571             43       45Lance Creek CDP                                                                                                                                                            
79956017798070020002701605078             4461502408571957200       43       45Census Tract 9572 (part)                                                                                                                                                   
79856017798070020002701605078             4853002412924           1567      790Lusk town                                                                                                                                                                  
79956017798070020002701605078             4853002412924957200     1567      790Census Tract 9572 (part)                                                                                                                                                   
79856017798070020002701605078             5027002412948             95       55Manville town                                                                                                                                                              
79956017798070020002701605078             5027002412948957200       95       55Census Tract 9572 (part)                                                                                                                                                   
79856017798070020002701605078             7970502413423             15        9Van Tassell town                                                                                                                                                           
79956017798070020002701605078             7970502413423957200       15        9Census Tract 9572 (part)                                                                                                                                                   
79856017798070020002701605078             9999999999999            764      439Remainder of Niobrara County                                                                                                                                               
79956017798070020002701605078             9999999999999957200      764      439Census Tract 9572 (part)                                                                                                                                                   
79656017798070020003101605080                                     8667     4667Platte County                                                                                                                                                              
79856017798070020003101605080             1409702407613            156       60Chugcreek CDP                                                                                                                                                              
79956017798070020003101605080             1409702407613959400      156       60Census Tract 9594 (part)                                                                                                                                                   
79856017798070020003101605080             1416502413202            212      106Chugwater town                                                                                                                                                             
79956017798070020003101605080             1416502413202959400      212      106Census Tract 9594 (part)                                                                                                                                                   
79856017798070020003101605080             3229002412686            205      167Glendo town                                                                                                                                                                
79956017798070020003101605080             3229002412686959100      205      167Census Tract 9591 (part)                                                                                                                                                   
79856017798070020003101605080             3432002412714           1147      581Guernsey town                                                                                                                                                              
