MARPP Real personal income and regional price parities by MSA 1
MARPP Real personal income and regional price parities by MSA 1
Metropolitan Statistical Area
GeoFIPS,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",92.837,96.364,94.372,94.971,95.191,96.518,96.308,95.678,95.748,95.489,94.661,94.370,93.489,94.000,93.141,93.045
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",98.187,95.104,93.200,94.324,94.888,96.462,96.179,96.681,97.510,97.623,93.981,90.608,93.037,93.743,93.703,96.883
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",95.073,94.244,95.734,95.506,96.408,95.170,95.433,95.920,96.413,94.661,94.662,94.470,95.137,94.902,92.400,90.701
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",97.984,101.534,99.114,102.457,102.204,101.260,101.031,99.706,98.933,101.947,97.862,100.346,98.581,96.565,96.821,97.410
17860,"Columbia, MO (Metropolitan Statistical Area)",93.573,93.533,93.094,91.992,93.479,92.570,92.941,91.559,91.257,91.091,91.637,92.416,91.112,89.500,87.821,89.280
17900,"Columbia, SC (Metropolitan Statistical Area)",93.519,92.279,94.057,95.217,94.353,94.683,94.104,94.620,94.567,93.627,92.354,91.025,89.843,93.262,93.408,92.925
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",88.418,87.301,90.735,91.461,90.089,90.427,91.043,91.184,90.438,89.647,88.325,87.845,86.310,88.928,89.381,88.796
18020,"Columbus, IN (Metropolitan Statistical Area)",83.992,86.113,90.555,89.044,90.489,88.820,90.438,87.689,87.984,87.425,93.954,93.818,91.418,91.812,90.285,90.312
18140,"Columbus, OH (Metropolitan Statistical Area)",96.601,96.033,95.990,94.145,95.429,95.486,95.331,94.580,94.644,93.646,95.217,95.623,94.414,94.843,94.101,94.516
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",96.175,92.765,95.768,95.083,95.519,97.188,96.569,96.156,97.397,96.785,93.939,94.994,94.969,94.593,93.433,91.306
18700,"Corvallis, OR (Metropolitan Statistical Area)",99.418,100.044,96.995,96.246,96.604,96.850,98.775,98.770,98.926,98.937,103.270,102.987,102.699,101.924,106.062,106.358
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",95.766,94.244,95.967,97.033,97.925,96.715,97.316,97.217,96.758,95.561,96.196,95.848,94.893,96.846,97.920,97.990
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",90.769,90.067,90.238,91.241,92.872,90.598,93.361,91.356,91.778,89.857,88.836,88.861,88.177,91.193,86.782,85.820
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",101.174,101.498,101.345,100.225,100.749,100.960,100.156,99.024,97.939,99.471,101.049,103.413,104.544,104.000,103.577,103.293
19140,"Dalton, GA (Metropolitan Statistical Area)",89.204,85.122,89.231,87.400,88.459,87.823,88.972,88.632,87.582,85.439,88.793,87.633,84.484,90.742,90.363,90.276
19180,"Danville, IL (Metropolitan Statistical Area)",81.003,83.477,87.718,86.706,87.562,86.375,87.252,85.988,84.287,83.981,87.794,86.927,86.559,88.020,87.888,86.824
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",95.217,94.531,96.617,93.374,95.844,94.158,94.076,93.475,94.811,95.652,91.470,94.622,90.744,92.054,91.246,94.726
