79872017798080010211501804538             1004802415317           1001      392Cacao comunidad                                                                                                                                                            
79972017798080010211501804538             1004802415317330300     1001      392Census Tract 3303 (part)                                                                                                                                                   
79872017798080010211501804538             6804002414919           5282     2371Quebradillas zona urbana                                                                                                                                                   
79972017798080010211501804538             6804002414919330100      761      326Census Tract 3301 (part)                                                                                                                                                   
79972017798080010211501804538             6804002414919330200     4521     2045Census Tract 3302 (part)                                                                                                                                                   
79872017798080010211501804538             7578002414939           1711      698San Antonio comunidad                                                                                                                                                      
79972017798080010211501804538             7578002414939330300     1711      698Census Tract 3303 (part)                                                                                                                                                   
79872017798080010211501804538             9999999999999          17925     7293Remainder of Quebradillas Municipio                                                                                                                                        
79972017798080010211501804538             9999999999999330100     7636     3198Census Tract 3301 (part)                                                                                                                                                   
79972017798080010211501804538             9999999999999330200     1086      457Census Tract 3302 (part)                                                                                                                                                   
79972017798080010211501804538             9999999999999330300     2777     1111Census Tract 3303 (part)                                                                                                                                                   
79972017798080010211501804538             9999999999999330400     6426     2527Census Tract 3304                                                                                                                                                          
79972017798080010211501804538             9999999999999990000        0        0Census Tract 9900                                                                                                                                                          
795720177980800201                                              137462    69481Cabo Rojo, San Germán, Lajas & Sabana Grande Municipios--Carr 2-Carr 100 PUMA                                                                                              
79672017798080020102301804491                                    50917    30206Cabo Rojo Municipio                                                                                                                                                        
79872017798080020102301804491             0766802415309            876      428Betances comunidad                                                                                                                                                         
79972017798080020102301804491             0766802415309830603      876      428Census Tract 8306.03 (part)                                                                                                                                                
79872017798080020102301804491             0796902415310           2023     1724Boquerón comunidad                                                                                                                                                         
79972017798080020102301804491             0796902415310830502      294      289Census Tract 8305.02 (part)                                                                                                                                                
79972017798080020102301804491             0796902415310830604     1729     1435Census Tract 8306.04 (part)                                                                                                                                                
79872017798080020102301804491             0986102415316           9803     4707Cabo Rojo zona urbana                                                                                                                                                      
79972017798080020102301804491             0986102415316830102       21       13Census Tract 8301.02 (part)                                                                                                                                                
79972017798080020102301804491             0986102415316830200       81       33Census Tract 8302 (part)                                                                                                                                                   
79972017798080020102301804491             0986102415316830300     4702     2220Census Tract 8303 (part)                                                                                                                                                   
79972017798080020102301804491             0986102415316830400     4999     2441Census Tract 8304 (part)                                                                                                                                                   
79872017798080020102301804491             2495402631212            423     1734El Combate comunidad                                                                                                                                                       
79972017798080020102301804491             2495402631212830604      423     1734Census Tract 8306.04 (part)                                                                                                                                                
79872017798080020102301804491             5436602414883           2800     1198Monte Grande comunidad                                                                                                                                                     
79972017798080020102301804491             5436602414883830102     2800     1198Census Tract 8301.02 (part)                                                                                                                                                
79872017798080020102301804491             6369702414912           1695     1042Pole Ojea comunidad                                                                                                                                                        
79972017798080020102301804491             6369702414912830603     1695     1042Census Tract 8306.03 (part)                                                                                                                                                
79872017798080020102301804491             6558902414916           5983     2417Puerto Real comunidad                                                                                                                                                      
79972017798080020102301804491             6558902414916830502        0        0Census Tract 8305.02 (part)                                                                                                                                                
79972017798080020102301804491             6558902414916830503     2342      839Census Tract 8305.03 (part)                                                                                                                                                
79972017798080020102301804491             6558902414916830504     3641     1578Census Tract 8305.04 (part)                                                                                                                                                
79872017798080020102301804491             9999999999999          27314    16956Remainder of Cabo Rojo Municipio                                                                                                                                           
79972017798080020102301804491             9999999999999830101     4793     2269Census Tract 8301.01                                                                                                                                                       
79972017798080020102301804491             9999999999999830102     2114      999Census Tract 8301.02 (part)                                                                                                                                                
79972017798080020102301804491             9999999999999830200     7030     3798Census Tract 8302 (part)                                                                                                                                                   
79972017798080020102301804491             9999999999999830300      451      220Census Tract 8303 (part)                                                                                                                                                   
79972017798080020102301804491             9999999999999830400      152       50Census Tract 8304 (part)                                                                                                                                                   
79972017798080020102301804491             9999999999999830502     4097     2782Census Tract 8305.02 (part)                                                                                                                                                
79972017798080020102301804491             9999999999999830503     3547     2111Census Tract 8305.03 (part)                                                                                                                                                
79972017798080020102301804491             9999999999999830504       17        7Census Tract 8305.04 (part)                                                                                                                                                
79972017798080020102301804491             9999999999999830603     2424     1728Census Tract 8306.03 (part)                                                                                                                                                
79972017798080020102301804491             9999999999999830604     2689     2991Census Tract 8306.04 (part)                                                                                                                                                
79972017798080020102301804491             9999999999999980000        0        1Census Tract 9800                                                                                                                                                          
79972017798080020102301804491             9999999999999990000        0        0Census Tract 9900                                                                                                                                                          
79672017798080020107901804520                                    25753    12397Lajas Municipio                                                                                                                                                            
79872017798080020107901804520             4095002414853           4586     2092Lajas zona urbana                                                                                                                                                          
79972017798080020107901804520             4095002414853850200     4502     2062Census Tract 8502 (part)                                                                                                                                                   
