79901017797750010007700161564             9999999999999011101       99       43Census Tract 111.01 (part)                                                                                                                                                 
79901017797750010007700161564             9999999999999011200     3887     1893Census Tract 112 (part)                                                                                                                                                    
79901017797750010007700161564             9999999999999011300     2150     1121Census Tract 113 (part)                                                                                                                                                    
79901017797750010007700161564             9999999999999011400     6563     2800Census Tract 114                                                                                                                                                           
79901017797750010007700161564             9999999999999011501     2635     1190Census Tract 115.01 (part)                                                                                                                                                 
79901017797750010007700161564             9999999999999011502     4698     2136Census Tract 115.02 (part)                                                                                                                                                 
79901017797750010007700161564             9999999999999011602     5073     2141Census Tract 116.02                                                                                                                                                        
79901017797750010007700161564             9999999999999011603     4019     1837Census Tract 116.03 (part)                                                                                                                                                 
79901017797750010007700161564             9999999999999011604     5961     2469Census Tract 116.04 (part)                                                                                                                                                 
79901017797750010007700161564             9999999999999011700     3745     1769Census Tract 117 (part)                                                                                                                                                    
79901017797750010007700161564             9999999999999011801     4474     1959Census Tract 118.01 (part)                                                                                                                                                 
79901017797750010007700161564             9999999999999011802     2617     1521Census Tract 118.02 (part)                                                                                                                                                 
79601017797750010009300161573                                     7854     3812Marion County (part)                                                                                                                                                       
79801017797750010009300161573             0485202405219           1070      502Bear Creek town                                                                                                                                                            
79901017797750010009300161573             0485202405219964000     1070      502Census Tract 9640 (part)                                                                                                                                                   
79901017797750010009300161573             0485202405219964100        0        0Census Tract 9641 (part)                                                                                                                                                   
79801017797750010009300161573             3256002406635           1516      769Hackleburg town                                                                                                                                                            
79901017797750010009300161573             3256002406635964100     1516      769Census Tract 9641 (part)                                                                                                                                                   
79801017797750010009300161573             3270402403782             48       24Haleyville city (part)                                                                                                                                                     
79901017797750010009300161573             3270402403782964000       48       24Census Tract 9640 (part)                                                                                                                                                   
79801017797750010009300161573             9999999999999           5220     2517Remainder of Marion County (part)                                                                                                                                          
79901017797750010009300161573             9999999999999964000     3969     1884Census Tract 9640 (part)                                                                                                                                                   
79901017797750010009300161573             9999999999999964100     1251      633Census Tract 9641 (part)                                                                                                                                                   
795010177977500200                                              171821    70735Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA                                                                                          
79601017797750020008300161567                                    82782    34977Limestone County                                                                                                                                                           
79801017797750020008300161567             0226002405163           1194      578Ardmore town                                                                                                                                                               
79901017797750020008300161567             0226002405163020102     1194      578Census Tract 201.02 (part)                                                                                                                                                 
79801017797750020008300161567             0295602403123          21897     9862Athens city                                                                                                                                                                
79901017797750020008300161567             0295602403123020101      480      173Census Tract 201.01 (part)                                                                                                                                                 
79901017797750020008300161567             0295602403123020201      183       74Census Tract 202.01 (part)                                                                                                                                                 
79901017797750020008300161567             0295602403123020402     1126      439Census Tract 204.02 (part)                                                                                                                                                 
79901017797750020008300161567             0295602403123020500     2805     1267Census Tract 205                                                                                                                                                           
79901017797750020008300161567             0295602403123020600     4123     1845Census Tract 206 (part)                                                                                                                                                    
79901017797750020008300161567             0295602403123020700     2062     1201Census Tract 207 (part)                                                                                                                                                    
79901017797750020008300161567             0295602403123020801      960      368Census Tract 208.01 (part)                                                                                                                                                 
79901017797750020008300161567             0295602403123020802      479      189Census Tract 208.02 (part)                                                                                                                                                 
79901017797750020008300161567             0295602403123020900     3755     1804Census Tract 209                                                                                                                                                           
79901017797750020008300161567             0295602403123021000     2445     1109Census Tract 210                                                                                                                                                           
79901017797750020008300161567             0295602403123021100     3045     1217Census Tract 211 (part)                                                                                                                                                    
79901017797750020008300161567             0295602403123021200      434      176Census Tract 212 (part)                                                                                                                                                    
79801017797750020008300161567             2010402404206             84       34Decatur city (part)                                                                                                                                                        
79901017797750020008300161567             2010402404206021100       72       27Census Tract 211 (part)                                                                                                                                                    
79901017797750020008300161567             2010402404206021200       12        7Census Tract 212 (part)                                                                                                                                                    
79801017797750020008300161567             2348802406437            434      201Elkmont town                                                                                                                                                               
79901017797750020008300161567             2348802406437020202      434      201Census Tract 202.02 (part)                                                                                                                                                 
79801017797750020008300161567             3700002404746           1521      637Huntsville city (part)                                                                                                                                                     
79901017797750020008300161567             3700002404746020802      699      284Census Tract 208.02 (part)                                                                                                                                                 
79901017797750020008300161567             3700002404746021100        0        0Census Tract 211 (part)                                                                                                                                                    
79901017797750020008300161567             3700002404746021200      822      353Census Tract 212 (part)                                                                                                                                                    
79801017797750020008300161567             4235202406007            111       45Lester town                                                                                                                                                                
