79804017797770010201300037026             7300002412045           1342      747Tempe city (part)                                                                                                                                                          
79904017797770010201300037026             7300002412045421201     1342      747Census Tract 4212.01 (part)                                                                                                                                                
79804017797770010201300037026             9999999999999           4463     2933Remainder of Maricopa County (part)                                                                                                                                        
79904017797770010201300037026             9999999999999420202     2725     1657Census Tract 4202.02 (part)                                                                                                                                                
79904017797770010201300037026             9999999999999420206        0        0Census Tract 4202.06 (part)                                                                                                                                                
79904017797770010201300037026             9999999999999420207        0        0Census Tract 4202.07 (part)                                                                                                                                                
79904017797770010201300037026             9999999999999420208        0        0Census Tract 4202.08 (part)                                                                                                                                                
79904017797770010201300037026             9999999999999420209     1719     1267Census Tract 4202.09 (part)                                                                                                                                                
79904017797770010201300037026             9999999999999420401        0        0Census Tract 4204.01 (part)                                                                                                                                                
79904017797770010201300037026             9999999999999420402       11        5Census Tract 4204.02 (part)                                                                                                                                                
79904017797770010201300037026             9999999999999421101        8        4Census Tract 4211.01 (part)                                                                                                                                                
79904017797770010201300037026             9999999999999421201        0        0Census Tract 4212.01 (part)                                                                                                                                                
795040177977700103                                              106091    45302Maricopa County--Mesa City (West) PUMA                                                                                                                                     
79604017797770010301300037026                                   106091    45302Maricopa County (part)                                                                                                                                                     
79804017797770010301300037026             4600002411087         106091    45302Mesa city (part)                                                                                                                                                           
79904017797770010301300037026             4600002411087421302     5978     2475Census Tract 4213.02                                                                                                                                                       
79904017797770010301300037026             4600002411087421303     4773     1871Census Tract 4213.03                                                                                                                                                       
79904017797770010301300037026             4600002411087421304     2918     1547Census Tract 4213.04                                                                                                                                                       
79904017797770010301300037026             4600002411087421400     2415     1511Census Tract 4214                                                                                                                                                          
