79822016295430020001500558453             0692502405245           1948      856Benton town                                                                                                                                                                
79922016295430020001500558453             0692502405245011107     1948      855Census Tract 111.07 (part)                                                                                                                                                 
79922016295430020001500558453             0692502405245011108        0        1Census Tract 111.08 (part)                                                                                                                                                 
79922016295430020001500558453             0692502405245011200        0        0Census Tract 112 (part)                                                                                                                                                    
79822016295430020001500558453             0892002403899          61315    25579Bossier City city                                                                                                                                                          
79922016295430020001500558453             0892002403899010400     1650      676Census Tract 104 (part)                                                                                                                                                    
79922016295430020001500558453             0892002403899010500     4783     2063Census Tract 105 (part)                                                                                                                                                    
79922016295430020001500558453             0892002403899010601     7108     2882Census Tract 106.01 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899010602     2909     1443Census Tract 106.02                                                                                                                                                        
79922016295430020001500558453             0892002403899010701     4210     2172Census Tract 107.01                                                                                                                                                        
79922016295430020001500558453             0892002403899010702     4137     1688Census Tract 107.02                                                                                                                                                        
79922016295430020001500558453             0892002403899010801     2975     1171Census Tract 108.01 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899010804     7270     2940Census Tract 108.04 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899010805     1001      394Census Tract 108.05 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899010806     4086     1671Census Tract 108.06 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899010900     2793      735Census Tract 109 (part)                                                                                                                                                    
79922016295430020001500558453             0892002403899011001     2833     1207Census Tract 110.01 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899011002     2110      806Census Tract 110.02 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899011105        1        1Census Tract 111.05 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899011108       36       18Census Tract 111.08 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899011109     7106     2786Census Tract 111.09 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899011110     4484     1992Census Tract 111.10 (part)                                                                                                                                                 
79922016295430020001500558453             0892002403899011300     1823      934Census Tract 113                                                                                                                                                           
79822016295430020001500558453             2261002402440           4093     1620Eastwood CDP                                                                                                                                                               
79922016295430020001500558453             2261002402440011105     2929     1082Census Tract 111.05 (part)                                                                                                                                                 
79922016295430020001500558453             2261002402440011106     1164      538Census Tract 111.06 (part)                                                                                                                                                 
79822016295430020001500558453             3342002405802           3454     1417Haughton town                                                                                                                                                              
79922016295430020001500558453             3342002405802011001       69       26Census Tract 110.01 (part)                                                                                                                                                 
79922016295430020001500558453             3342002405802011105       29       12Census Tract 111.05 (part)                                                                                                                                                 
79922016295430020001500558453             3342002405802011106     3356     1379Census Tract 111.06 (part)                                                                                                                                                 
79822016295430020001500558453             6067002407131           1015      495Plain Dealing town                                                                                                                                                         
79922016295430020001500558453             6067002407131011200     1015      495Census Tract 112 (part)                                                                                                                                                    
79822016295430020001500558453             6385502403463           6261     2507Red Chute CDP                                                                                                                                                              
79922016295430020001500558453             6385502403463011103     3420     1302Census Tract 111.03 (part)                                                                                                                                                 
79922016295430020001500558453             6385502403463011105     2841     1205Census Tract 111.05 (part)                                                                                                                                                 
79822016295430020001500558453             7000002405463           2702     1468Shreveport city (part)                                                                                                                                                     
79922016295430020001500558453             7000002405463010400      103       46Census Tract 104 (part)                                                                                                                                                    
79922016295430020001500558453             7000002405463010801      381      243Census Tract 108.01 (part)                                                                                                                                                 
79922016295430020001500558453             7000002405463010805     2218     1179Census Tract 108.05 (part)                                                                                                                                                 
79922016295430020001500558453             7000002405463011002        0        0Census Tract 110.02 (part)                                                                                                                                                 
79822016295430020001500558453             9999999999999          36191    15409Remainder of Bossier Parish                                                                                                                                                
79922016295430020001500558453             9999999999999010500       14        7Census Tract 105 (part)                                                                                                                                                    
79922016295430020001500558453             9999999999999010601        0        0Census Tract 106.01 (part)                                                                                                                                                 
79922016295430020001500558453             9999999999999010801        3        1Census Tract 108.01 (part)                                                                                                                                                 
79922016295430020001500558453             9999999999999010804        8        3Census Tract 108.04 (part)                                                                                                                                                 
79922016295430020001500558453             9999999999999010805       19       12Census Tract 108.05 (part)                                                                                                                                                 
79922016295430020001500558453             9999999999999010806        0        0Census Tract 108.06 (part)                                                                                                                                                 
