79949014559890500100501448017             4586002410856000401       77        5Census Tract 4.01 (part)                                                                                                                                                   
79949014559890500100501448017             4586002410856000402      200       65Census Tract 4.02 (part)                                                                                                                                                   
79949014559890500100501448017             4586002410856000403        0        0Census Tract 4.03 (part)                                                                                                                                                   
79949014559890500100501448017             4586002410856000501     5128     2028Census Tract 5.01                                                                                                                                                          
79949014559890500100501448017             4586002410856000502     5230     1932Census Tract 5.02 (part)                                                                                                                                                   
79949014559890500100501448017             4586002410856000600     7068     2321Census Tract 6                                                                                                                                                             
79949014559890500100501448017             4586002410856000701     4148     1284Census Tract 7.01 (part)                                                                                                                                                   
79949014559890500100501448017             4586002410856000702     2720      500Census Tract 7.02                                                                                                                                                          
79949014559890500100501448017             4586002410856000800     4795     2132Census Tract 8                                                                                                                                                             
79949014559890500100501448017             4586002410856000900     3374     1383Census Tract 9                                                                                                                                                             
79949014559890500100501448017             4586002410856001001     3026      869Census Tract 10.01                                                                                                                                                         
79949014559890500100501448017             4586002410856001002     4560     1848Census Tract 10.02 (part)                                                                                                                                                  
79949014559890500100501448017             4586002410856001101     1092      433Census Tract 11.01 (part)                                                                                                                                                  
79949014559890500100501448017             4586002410856001102     2718      890Census Tract 11.02 (part)                                                                                                                                                  
79949014559890500100501448017             4586002410856001202       77       33Census Tract 12.02 (part)                                                                                                                                                  
79949014559890500100501448017             4586002410856980100        6        1Census Tract 9801 (part)                                                                                                                                                   
79849014559890500100501448017             4916002411077           1282      374Mendon city                                                                                                                                                                
79949014559890500100501448017             4916002411077001300     1282      374Census Tract 13 (part)                                                                                                                                                     
79849014559890500100501448017             5037002411112           1829      519Millville city                                                                                                                                                             
79949014559890500100501448017             5037002411112001201     1823      517Census Tract 12.01 (part)                                                                                                                                                  
79949014559890500100501448017             5037002411112001202        6        2Census Tract 12.02 (part)                                                                                                                                                  
79949014559890500100501448017             5037002411112980100        0        0Census Tract 9801 (part)                                                                                                                                                   
79849014559890500100501448017             5455002413048            789      241Newton town                                                                                                                                                                
79949014559890500100501448017             5455002413048000300      789      241Census Tract 3 (part)                                                                                                                                                      
79849014559890500100501448017             5466002411253           5438     1451Nibley city                                                                                                                                                                
79949014559890500100501448017             5466002411253000300        0        0Census Tract 3 (part)                                                                                                                                                      
79949014559890500100501448017             5466002411253001201      151       47Census Tract 12.01 (part)                                                                                                                                                  
79949014559890500100501448017             5466002411253001202     5179     1371Census Tract 12.02 (part)                                                                                                                                                  
79949014559890500100501448017             5466002411253001401      108       33Census Tract 14.01 (part)                                                                                                                                                  
79849014559890500100501448017             5499002411274           8269     2680North Logan city                                                                                                                                                           
79949014559890500100501448017             5499002411274000401     3261     1219Census Tract 4.01 (part)                                                                                                                                                   
79949014559890500100501448017             5499002411274000402     2500      755Census Tract 4.02 (part)                                                                                                                                                   
79949014559890500100501448017             5499002411274000403     2135      584Census Tract 4.03 (part)                                                                                                                                                   
79949014559890500100501448017             5499002411274000502        1        1Census Tract 5.02 (part)                                                                                                                                                   
79949014559890500100501448017             5499002411274000701      372      121Census Tract 7.01 (part)                                                                                                                                                   
79849014559890500100501448017             5785002413112            904      278Paradise town                                                                                                                                                              
79949014559890500100501448017             5785002413112001500      904      278Census Tract 15 (part)                                                                                                                                                     
79849014559890500100501448017             5955502409057            324      102Peter CDP                                                                                                                                                                  
79949014559890500100501448017             5955502409057000300      113       43Census Tract 3 (part)                                                                                                                                                      
79949014559890500100501448017             5955502409057001300      211       59Census Tract 13 (part)                                                                                                                                                     
79849014559890500100501448017             6236002411498           7075     2282Providence city                                                                                                                                                            
79949014559890500100501448017             6236002411498001101     4185     1457Census Tract 11.01 (part)                                                                                                                                                  
