FIPS,year,population
37119,2007,862177
37183,2007,821607
39049,2007,1127174
39061,2007,801815
39113,2007,540667
40109,2007,695706
40143,2007,582094
45045,2007,427970
47037,2007,605031
47093,2007,419096
47157,2007,921119
51760,2007,200201
1073,2008,656510
12031,2008,855437
18097,2008,889504
21111,2008,730194
26081,2008,599234
29095,2008,665427
29189,2008,998331
29510,2008,317955
31055,2008,504547
37081,2008,477809
37119,2008,887991
37183,2008,856492
39049,2008,1141183
39061,2008,799840
39113,2008,537664
40109,2008,701484
40143,2008,588510
45045,2008,438742
47037,2008,612649
47093,2008,425276
47157,2008,920685
51760,2008,202254
1073,2009,658441
12031,2009,859795
18097,2009,898394
21111,2009,736705
26081,2009,601437
29095,2009,670763
29189,2009,998618
29510,2009,318842
31055,2009,511902
37081,2009,484180
37119,2009,908704
37183,2009,883624
39049,2009,1155408
39061,2009,802149
39113,2009,535294
40109,2009,711595
40143,2009,597748
45045,2009,446655
47037,2009,621008
47093,2009,429475
47157,2009,922541
51760,2009,203678
1073,2010,658048
12031,2010,865659
18097,2010,904504
21111,2010,742018
26081,2010,602912
29095,2010,674804
29189,2010,998681
29510,2010,319365
31055,2010,518586
37081,2010,489548
37119,2010,923202
37183,2010,906884
39049,2010,1166274
39061,2010,802279
39113,2010,535564
40109,2010,720724
40143,2010,604974
45045,2010,452752
47037,2010,627973
47093,2010,432972
47157,2010,928552
51760,2010,204241
1073,2011,657789
12031,2011,872405
18097,2011,911195
21111,2011,746337
26081,2011,608174
29095,2011,675290
29189,2011,999308
29510,2011,319102
31055,2011,524458
37081,2011,495241
37119,2011,944943
37183,2011,929845
39049,2011,1180739
39061,2011,800617
39113,2011,534415
40109,2011,730176
40143,2011,608843
45045,2011,459193
47037,2011,635602
47093,2011,436653
47157,2011,933268
51760,2011,206410
1073,2012,657668
12031,2012,880526
18097,2012,919453
21111,2012,751377
26081,2012,615122
29095,2012,677376
29189,2012,1000502
29510,2012,319363
31055,2012,531298
37081,2012,500831
37119,2012,968204
37183,2012,952982
39049,2012,1198608
39061,2012,802318
39113,2012,534168
40109,2012,742727
40143,2012,614962
45045,2012,466326
47037,2012,649326
47093,2012,440705
47157,2012,939425
51760,2012,210842
1073,2013,658727
12031,2013,886595
18097,2013,929722
21111,2013,757955
26081,2013,623457
29095,2013,680062
29189,2013,1000659
29510,2013,318575
31055,2013,537527
37081,2013,506771
37119,2013,991619
37183,2013,974938
39049,2013,1216299
39061,2013,804409
39113,2013,533713
40109,2013,755703
40143,2013,623599
45045,2013,473315
47037,2013,659868
47093,2013,444194
47157,2013,938825
51760,2013,214012
1073,2014,659544
12031,2014,897679
18097,2014,935745
21111,2014,761099
26081,2014,630413
29095,2014,683516
29189,2014,1000967
29510,2014,317732
31055,2014,543570
37081,2014,512541
37119,2014,1011315
37183,2014,998914
39049,2014,1235582
39061,2014,806790
39113,2014,531992
40109,2014,766502
40143,2014,630818
45045,2014,481656
47037,2014,670314
47093,2014,447939
47157,2014,938434
51760,2014,217185
1073,2015,660087
12031,2015,911626
18097,2015,940235
21111,2015,764341
26081,2015,636508
29095,2015,687182
29189,2015,1001127
29510,2015,316257
31055,2015,549919
37081,2015,517722
37119,2015,1034442
37183,2015,1023859
39049,2015,1253674
39061,2015,808405
39113,2015,531293
40109,2015,776643
40143,2015,639892
45045,2015,490816
47037,2015,681285
47093,2015,451321
47157,2015,937885
51760,2015,220943
1073,2016,659747
12031,2016,926380
18097,2016,944034
21111,2016,767335
26081,2016,642909
29095,2016,693115
29189,2016,998216
29510,2016,313144
31055,2016,555894
37081,2016,521996
37119,2016,1057237
37183,2016,1049143
39049,2016,1269998
39061,2016,810087
39113,2016,531395
40109,2016,784208
40143,2016,645042
45045,2016,499034
47037,2016,688901
47093,2016,456114
47157,2016,937130
51760,2016,225288
1073,2017,659197
12031,2017,937934
18097,2017,950082
21111,2017,771158
26081,2017,648594
29095,2017,698895
29189,2017,996726
29510,2017,308626
31055,2017,561620
37081,2017,526953
37119,2017,1076837
37183,2017,1072203
39049,2017,1291981
39061,2017,813822
39113,2017,531542
40109,2017,787958
40143,2017,646266
45045,2017,506837
47037,2017,691243
47093,2017,461860
47157,2017,936961
51760,2017,227032
1073,2018,659197
12031,2018,937934
18097,2018,950082
21111,2018,771158
26081,2018,648594
29095,2018,698895
29189,2018,996726
29510,2018,308626
31055,2018,561620
37081,2018,526953
37119,2018,1076837
37183,2018,1072203
39049,2018,1291981
39061,2018,813822
39113,2018,531542
40109,2018,787958
40143,2018,646266
45045,2018,506837
47037,2018,691243
47093,2018,461860
47157,2018,936961
51760,2018,227032
