zip,county,res_ratio,bus_ratio,oth_ratio,tot_ratio
95210,06077,1.000000000,1.000000000,1.000000000,1.000000000
95252,06009,1.000000000,1.000000000,1.000000000,1.000000000
95307,06099,1.000000000,1.000000000,1.000000000,1.000000000
95351,06099,1.000000000,1.000000000,1.000000000,1.000000000
95366,06077,1.000000000,1.000000000,1.000000000,1.000000000
95367,06099,0.998596655,0.995926680,1.000000000,0.998475610
95377,06077,0.997844131,0.994459834,1.000000000,0.997733828
95409,06097,1.000000000,1.000000000,1.000000000,1.000000000
95437,06045,1.000000000,1.000000000,1.000000000,1.000000000
95493,06033,1.000000000,1.000000000,0.000000000,1.000000000
95630,06067,1.000000000,1.000000000,1.000000000,1.000000000
95665,06005,1.000000000,1.000000000,1.000000000,1.000000000
95667,06017,1.000000000,1.000000000,1.000000000,1.000000000
95672,06017,1.000000000,1.000000000,1.000000000,1.000000000
95673,06067,1.000000000,1.000000000,1.000000000,1.000000000
95695,06113,1.000000000,1.000000000,1.000000000,1.000000000
95757,06067,1.000000000,1.000000000,1.000000000,1.000000000
95864,06067,1.000000000,1.000000000,1.000000000,1.000000000
96021,06103,1.000000000,1.000000000,1.000000000,1.000000000
96122,06063,1.000000000,1.000000000,1.000000000,1.000000000
96161,06061,0.193102857,0.104727708,0.048966268,0.173440022
99611,02122,1.000000000,1.000000000,1.000000000,1.000000000
30005,13121,0.834519704,0.587308731,0.609329446,0.795825099
30032,13089,1.000000000,1.000000000,1.000000000,1.000000000
30038,13089,1.000000000,1.000000000,1.000000000,1.000000000
30067,13067,1.000000000,1.000000000,1.000000000,1.000000000
30083,13089,1.000000000,1.000000000,1.000000000,1.000000000
30087,13089,0.639979000,0.085642317,0.158620690,0.595933390
30107,13057,0.812459442,0.974921630,0.967741935,0.821154437
30113,13143,0.895410083,0.974576271,1.000000000,0.899893124
30114,13057,1.000000000,1.000000000,1.000000000,1.000000000
30121,13015,1.000000000,1.000000000,1.000000000,1.000000000
30143,13227,0.891475124,0.804333108,0.996794872,0.885306044
30157,13223,0.982102448,0.996904025,1.000000000,0.982720316
30179,13223,0.196994314,0.066390041,0.000000000,0.192237324
30179,13045,0.692932575,0.883817427,0.840000000,0.699424987
30220,13199,0.241537054,0.121951220,0.500000000,0.239802779
30233,13035,0.792874573,0.911554922,0.929487179,0.802287876
30257,13171,0.943122677,0.940594059,1.000000000,0.943315508
30290,13113,1.000000000,1.000000000,1.000000000,1.000000000
30292,13255,0.242160279,0.057851240,0.000000000,0.233688415
30301,13121,1.000000000,1.000000000,1.000000000,1.000000000
30324,13121,0.849211927,0.950511945,0.909433962,0.858667267
30450,13031,0.996566524,1.000000000,1.000000000,0.996669442
30510,13137,0.657418224,0.780000000,0.764705882,0.663046505
30528,13187,0.018713362,0.004177109,0.019047619,0.017535513
30554,13139,0.718400447,0.893333333,0.750000000,0.722055206
30622,13157,0.090463978,0.002985075,0.000000000,0.083155195
30635,13105,0.996903226,0.998789346,1.000000000,0.997133685
30666,13013,0.745952109,0.931818182,0.925925926,0.752420775
30669,13133,0.901524033,0.977443609,1.000000000,0.907667387
30753,13055,0.810168372,0.938650307,1.000000000,0.817983821
30914,13245,1.000000000,1.000000000,1.000000000,1.000000000
31017,13023,0.163704397,0.205128205,0.000000000,0.165013526
31028,13153,1.000000000,1.000000000,1.000000000,1.000000000
31031,13319,0.676961087,0.871951220,0.480000000,0.684855559
31076,13193,0.077309868,0.019417476,0.000000000,0.072928821
31087,13141,0.960636345,0.992424242,0.906976744,0.961804223
31088,13153,0.998750806,1.000000000,1.000000000,0.998861842
31098,13153,1.000000000,1.000000000,1.000000000,1.000000000
31216,13021,1.000000000,1.000000000,1.000000000,1.000000000
31401,13051,1.000000000,1.000000000,1.000000000,1.000000000
31408,13051,1.000000000,1.000000000,1.000000000,1.000000000
31419,13051,1.000000000,1.000000000,1.000000000,1.000000000
31522,13127,1.000000000,1.000000000,1.000000000,1.000000000
31535,13069,1.000000000,1.000000000,1.000000000,1.000000000
31545,13305,1.000000000,1.000000000,1.000000000,1.000000000
31553,13025,1.000000000,1.000000000,1.000000000,1.000000000
31555,13305,0.901457321,1.000000000,0.000000000,0.904248146
31560,13305,1.000000000,1.000000000,1.000000000,1.000000000
31602,13185,0.929226653,0.989136995,0.997425997,0.937624090
31699,13185,1.000000000,1.000000000,1.000000000,1.000000000
31714,13287,0.972157773,0.989898990,1.000000000,0.974619289
31768,13071,0.998691670,1.000000000,1.000000000,0.998897788
31775,13071,0.323437500,0.142857143,0.275862069,0.317708333
31804,13145,0.998583068,1.000000000,1.000000000,0.998650927
31806,13249,0.973995272,0.989130435,0.972972973,0.974598930
31811,13145,1.000000000,1.000000000,1.000000000,1.000000000
31816,13199,0.945329471,0.996575342,1.000000000,0.951125402
31836,13263,1.000000000,1.000000000,0.000000000,1.000000000
31901,13215,1.000000000,1.000000000,1.000000000,1.000000000
32062,12121,1.000000000,1.000000000,1.000000000,1.000000000
32113,12083,1.000000000,1.000000000,1.000000000,1.000000000
32340,12079,1.000000000,1.000000000,1.000000000,1.000000000
32344,12065,1.000000000,1.000000000,1.000000000,1.000000000
32433,12131,1.000000000,1.000000000,1.000000000,1.000000000
32579,12091,1.000000000,1.000000000,1.000000000,1.000000000
32626,12075,1.000000000,1.000000000,1.000000000,1.000000000
32640,12107,0.578108763,0.236453202,0.545454545,0.566389351
32701,12117,1.000000000,1.000000000,1.000000000,1.000000000
32703,12095,0.773652579,0.844301075,0.754736842,0.779771615
32707,12117,1.000000000,1.000000000,1.000000000,1.000000000
32738,12127,1.000000000,1.000000000,1.000000000,1.000000000
32744,12127,1.000000000,1.000000000,1.000000000,1.000000000
32751,12117,0.270305071,0.135717785,0.222087379,0.246045830
32792,12095,0.618104134,0.772311213,0.832464930,0.650500172
32962,12061,1.000000000,1.000000000,1.000000000,1.000000000
33043,12087,1.000000000,1.000000000,1.000000000,1.000000000
33138,12086,1.000000000,1.000000000,1.000000000,1.000000000
33149,12086,1.000000000,1.000000000,1.000000000,1.000000000
33185,12086,1.000000000,1.000000000,1.000000000,1.000000000
33190,12086,1.000000000,1.000000000,1.000000000,1.000000000
33193,12086,1.000000000,1.000000000,1.000000000,1.000000000
33404,12099,1.000000000,1.000000000,1.000000000,1.000000000
33408,12099,1.000000000,1.000000000,1.000000000,1.000000000
33409,12099,1.000000000,1.000000000,1.000000000,1.000000000
33425,12099,1.000000000,1.000000000,1.000000000,1.000000000
33458,12099,0.964764538,0.999372647,0.979245283,0.970096860
33461,12099,1.000000000,1.000000000,1.000000000,1.000000000
33470,12099,1.000000000,1.000000000,1.000000000,1.000000000
33484,12099,1.000000000,1.000000000,1.000000000,1.000000000
33486,12099,1.000000000,1.000000000,1.000000000,1.000000000
33511,12057,1.000000000,1.000000000,1.000000000,1.000000000
33559,12057,0.563732825,0.145547945,0.477031802,0.531029448
33559,12101,0.436267175,0.854452055,0.522968198,0.468970552
33566,12057,1.000000000,1.000000000,1.000000000,1.000000000
33594,12057,1.000000000,1.000000000,1.000000000,1.000000000
33603,12057,1.000000000,1.000000000,1.000000000,1.000000000
33609,12057,1.000000000,1.000000000,1.000000000,1.000000000
33707,12103,1.000000000,1.000000000,1.000000000,1.000000000
33709,12103,1.000000000,1.000000000,1.000000000,1.000000000
33713,12103,1.000000000,1.000000000,1.000000000,1.000000000
33762,12103,1.000000000,1.000000000,1.000000000,1.000000000
33764,12103,1.000000000,1.000000000,1.000000000,1.000000000
33778,12103,1.000000000,1.000000000,1.000000000,1.000000000
33852,12055,1.000000000,1.000000000,1.000000000,1.000000000
33859,12105,1.000000000,1.000000000,1.000000000,1.000000000
33868,12105,1.000000000,1.000000000,1.000000000,1.000000000
33880,12105,1.000000000,1.000000000,1.000000000,1.000000000
33904,12071,1.000000000,1.000000000,1.000000000,1.000000000
33917,12071,0.994522019,1.000000000,0.994897959,0.994631627
33971,12071,1.000000000,1.000000000,1.000000000,1.000000000
33993,12071,1.000000000,1.000000000,1.000000000,1.000000000
34231,12115,1.000000000,1.000000000,1.000000000,1.000000000
34237,12115,1.000000000,1.000000000,1.000000000,1.000000000
34243,12081,0.810292442,0.809726962,0.840092700,0.811575901
34275,12115,1.000000000,1.000000000,1.000000000,1.000000000
34474,12083,1.000000000,1.000000000,1.000000000,1.000000000
34476,12083,1.000000000,1.000000000,1.000000000,1.000000000
34483,12083,1.000000000,1.000000000,1.000000000,1.000000000
34652,12101,1.000000000,1.000000000,1.000000000,1.000000000
34668,12101,1.000000000,1.000000000,1.000000000,1.000000000
34698,12103,1.000000000,1.000000000,1.000000000,1.000000000
34711,12069,1.000000000,1.000000000,1.000000000,1.000000000
34758,12097,1.000000000,1.000000000,1.000000000,1.000000000
34785,12119,1.000000000,1.000000000,1.000000000,1.000000000
34788,12069,1.000000000,1.000000000,1.000000000,1.000000000
34996,12085,1.000000000,1.000000000,1.000000000,1.000000000
39828,13131,1.000000000,1.000000000,1.000000000,1.000000000
40046,21215,0.718225420,0.636363636,0.904761905,0.726042841
